locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PcaR,link
PP_3357,0.1987630009811501,vdh,vanillin dehydrogenase,Energy production and conversion,Op2176,"PP_3359,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3357&e1=1&assembly=complete
PP_3350,0.1979591748450908,PP_3350,conserved exported protein of unknown function,Cell wall/membrane/envelope biogenesis,Op2173,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3350&e1=1&assembly=complete
PP_3356,0.1969451237169598,fcs,feruloyl-CoA-synthetase,Lipid transport and metabolism,Op2176,"PP_3359,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3356&e1=1&assembly=complete
PP_3358,0.1930209785457675,PP_3358,hydroxycinnamoyl-CoA hydratase-lyase,Lipid transport and metabolism,Op2176,"PP_3359,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3358&e1=1&assembly=complete
PP_3355,0.192738446120796,PP_3355,Beta-ketothiolase,Lipid transport and metabolism,Op2175,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3355&e1=1&assembly=complete
PP_3537,0.1774004072920167,pobA,p-hydroxybenzoate hydroxylase,Energy production and conversion,Op2293,"PcaR,PobR,AmrZ,Crc",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3537&e1=1&assembly=complete
PP_3349,0.1740983335852061,mhpT,3-hydroxyphenylpropionate / 3-hydroxycinnamate:H+ symporter,Amino acid transport and metabolism,Op2173,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3349&e1=1&assembly=complete
PP_4656,0.1626379520650668,pcaH,protocatechuate 3%2C4-dioxygenase beta chain,"Secondary metabolites biosynthesis, transport, and catabolism",Op3036,"TurA,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4656&e1=1&assembly=complete
PP_1377,0.1613748543615678,pcaF-I,beta-ketoadipyl-CoA thiolase,Lipid transport and metabolism,Op862,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1377&e1=1&assembly=complete
PP_3354,0.1612878424362269,PP_3354,putative Acyl-CoA dehydrogenase%2C ferrulic acid biotransformation protein,Energy production and conversion,Op2175,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3354&e1=1&assembly=complete
PP_3494,0.1606030437905717,PP_3494,conserved exported protein of unknown function,Function unknown,Op2258,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3494&e1=1&assembly=complete
PP_4655,0.1552870560695257,pcaG,protocatechuate 3%2C4-dioxygenase alpha chain,"Secondary metabolites biosynthesis, transport, and catabolism",Op3036,Crc,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4655&e1=1&assembly=complete
PP_3352,0.1545205647348492,atsA,Arylsulfatase,Inorganic ion transport and metabolism,Op2174,GacA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3352&e1=1&assembly=complete
PP_3952,0.1398787715075856,pcaJ,3-oxoadipate CoA-transferase subunit A,Lipid transport and metabolism,Op2581,PcaR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3952&e1=1&assembly=complete
PP_5458,0.1376208633821481,PP_5458,conserved exported protein of unknown function,No COG annotation,Op523,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5458&e1=1&assembly=complete
