locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Crp,link
b4357,0.1714923162,lgoR,putative DNA-binding transcriptional regulator LgoR,Transcription,lgoR,"RpoE,Crp,UxuR,ExuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7944
b2876,0.1710317518,yqeC,uncharacterized protein YqeC,Cell wall/membrane/envelope biogenesis,yqeC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7495
b3118,0.1667789502,tdcA,DNA-binding transcriptional activator TdcA,Transcription,tdcABCDEFG,"Fnr,Crp,ppGpp,IHF,TdcA,TdcR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10989
b0328,0.1490276585,yahN,putative amino acid exporter,Amino acid transport and metabolism,yahN,Crp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6193
b4118,0.1475969204,melR,DNA-binding transcriptional dual regulator MelR,Transcription,melR,"RpoD,Crp,MelR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11230
b4189,0.1402723647,bsmA,DUF1471 domain-containing putative lipoprotein BsmA,Function unknown,bsmA,"YciT,RpoS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7852
b4188,0.1258654076,yjfN,protease activator,Function unknown,yjfN,CpxR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7851
b2151,0.1232827461,galS,DNA-binding transcriptional dual regulator GalS,Transcription,galS,"RpoD,Crp,GalR,GalS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10365
b1689,0.1228006308,ydiL,DUF1870 domain-containing protein YdiL,Function unknown,ydiL,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6915
b2801,0.1220318316,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2877,0.1115771105,mocA,molybdenum cofactor cytidylyltransferase,Function unknown,mocA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7496
b2869,0.1109686782,ygeV,putative sigma(54)-dependent transcriptional regulator YgeV,Transcription,ygeV,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7488
b1426,0.1050837916,ydcH,protein YdcH,Function unknown,ydcH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12865
b2219,0.10349677880000001,atoS,sensory histidine kinase AtoS,Signal transduction mechanisms,atoSC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11667
b0445,0.1018903491,ybaE,putative protein YbaE,Function unknown,ybaE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG13217
b1205,0.10109492910000001,ychH,stress-induced protein,Function unknown,ychH,"RpoD,Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11533
