locus,gene_weight,gene_name,gene_product,cog,operon,regulator,AllR,FucR,AraC,link
b0509,0.3643010653,glxR,tartronate semialdehyde reductase 2,Lipid transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6278
b0508,0.3562430398,hyi,hydroxypyruvate isomerase,Carbohydrate transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6277
b0507,0.2911040024,gcl,glyoxylate carboligase,Function unknown,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11583
b0512,0.2385913314,allB,allantoinase,Nucleotide transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6281
b0505,0.17776581900000002,allA,ureidoglycolate lyase,Nucleotide transport and metabolism,allA,"YcjW,AllR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6275
b0511,0.1585859151,ybbW,putative allantoin transporter,Nucleotide transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,YeiE,AllR,Nac",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6280
b0061,0.12383787880000001,araD,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10055
b0063,0.1163055097,araB,ribulokinase,Nucleotide transport and metabolism,araBAD,"RpoD,Crp,AraC",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10053
b1901,0.1097825644,araF,arabinose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,araFGH,"RpoD,RpoS,Crp,AraC,Nac,spf",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10057
b0062,0.10594155520000001,araA,L-arabinose isomerase,Carbohydrate transport and metabolism,araBAD,"RpoD,Crp,AraC",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10052
b2801,0.08639326630000001,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.0805754899,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2841,0.0800938752,araE,arabinose:H(+) symporter,Amino acid transport and metabolism,araE-ygeA,"RpoD,Crp,AraC,Nac",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10056
b0513,0.0749686147,ybbY,putative purine transporter,Nucleotide transport and metabolism,gcl-hyi-glxR-ybbW-allB-ybbY-glxK,"RpoD,AllR",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6282
b1900,0.0652923614,araG,arabinose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,araFGH,"RpoD,RpoS,Crp,AraC",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10058
b2803,0.0618734732,fucK,L-fuculokinase,Nucleotide transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
