locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA2069,0.193795299,PA2069,,carbamoyl transferase,"Post-translational modification, protein turnover,and chaperones",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2069&e1=1&assembly=complete
PA2068,0.173449347,PA2068,,major facilitator superfamily transporter,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2068&e1=1&assembly=complete
PA2067,0.144647564,PA2067,,hydrolase,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2067&e1=1&assembly=complete
PA2300,0.140671331,chiC,,chitinase,Carbohydrate transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2300&e1=1&assembly=complete
PA2066,0.137361269,PA2066,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2066&e1=1&assembly=complete
PA3478,0.126097505,rhlB,,rhamnosyltransferase subunit B,Energy production and conversion,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3478&e1=1&assembly=complete
PA3479,0.12211498200000001,rhlA,,rhamnosyltransferase subunit A,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3479&e1=1&assembly=complete
PA2565,0.101296572,PA2565,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2565&e1=1&assembly=complete
PA4141,0.10073125000000001,PA4141,,hypothetical protein,No COG annotation,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4141&e1=1&assembly=complete
PA4142,0.10021107900000001,PA4142,,secretion protein,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4142&e1=1&assembly=complete
PA3520,0.08915049800000001,PA3520,,hypothetical protein,Inorganic ion transport and metabolism,CueR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3520&e1=1&assembly=complete
PA4144,0.08911352700000001,PA4144,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4144&e1=1&assembly=complete
PA0852,0.086379383,cbpD,,chitin-binding protein CbpD,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0852&e1=1&assembly=complete
PA2566,0.08581661900000001,PA2566,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2566&e1=1&assembly=complete
PA1871,0.08537008700000001,lasA,,protease LasA,Cell wall/membrane/envelope biogenesis,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1871&e1=1&assembly=complete
PA3361,0.084265979,lecB,,fucose-binding lectin PA-IIL,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3361&e1=1&assembly=complete
PA1899,0.082402849,phzA2,,phenazine biosynthesis protein PhzA,Function unknown,QscR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1899&e1=1&assembly=complete
PA1900,0.081133749,phzB2,,phenazine biosynthesis protein PhzB,Function unknown,QscR,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1900&e1=1&assembly=complete
PA1131,0.075767576,PA1131,,major facilitator superfamily transporter,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1131&e1=1&assembly=complete
PA0122,0.07248900400000001,PA0122,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0122&e1=1&assembly=complete
PA1869,0.07186920200000001,PA1869,,acyl carrier protein,Lipid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1869&e1=1&assembly=complete
PA1130,0.070310406,rhlC,,rhamnosyltransferase,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1130&e1=1&assembly=complete
PA4143,0.06993779,PA4143,,toxin transporter,Defense mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4143&e1=1&assembly=complete
