locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigM,link
BSU_27180,0.137506356,yrhH,unknown,No COG category,"yrhH, yrhH->yrhJ","SigM,SigW,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU27180
BSU_23830,0.135778215,yqjL,putative hydrolase,Function unknown,yqjL,"SigM,SigW,SigB,SigV",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23830
BSU_38480,0.117968027,sasA,(p)ppGpp synthetase,Function unknown,sasA,"SigM,SigW,SigV",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38480
BSU_04230,0.110102191,amj,lipid II flippase,Intracellular trafficking and secretion,amj,SigM,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU04230
BSU_28050,0.09794504,maf,nucleotide pyrophosphatase,Cell cycle control and cell division,maf->minD,"SigM,ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28050
BSU_23370,0.09597734100000001,ypuA,unknown,Function unknown,ypuA,SigM,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU23370
BSU_28040,0.09159977100000001,radC,probable DNA repair protein,Amino acid transport and metabolism,maf->minD,"SigM,ComK,SigA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28040
BSU_06380,0.08848038500000001,yebC,unknown,Cell wall/membrane/envelope biogenesis,yebC,"SigM,SigV",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU06380
BSU_11490,0.08679550400000001,yjbC,unknown,Transcription,yjbC->spx,"PerR,SigM,SigW,SigB,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU11490
BSU_36530,0.077939837,bcrC,undecaprenyl pyrophosphate phosphatase,Lipid transport and metabolism,bcrC,"SigM,SigW,SigI,SigV,SigX",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36530
BSU_22980,0.077244029,ypbG,unknown,Function unknown,ypbG,SigM,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU22980
