locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,MexZ,MexS,link
PA0426,0.297938137,mexB,,multidrug resistance protein MexB,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0426&e1=1&assembly=complete
PA2494,0.165936797,mexF,,resistance-nodulation-cell division (RND) multidrug efflux transporter MexF,"Intracellular trafficking, secretion, and vesicular transport","MexS,MexT",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2494&e1=1&assembly=complete
PA4598,0.154283039,mexD,,resistance-nodulation-cell division (RND) multidrug efflux transporter MexD,"Intracellular trafficking, secretion, and vesicular transport","EsrC,NfxB",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4598&e1=1&assembly=complete
PA3114,0.12197078400000001,truA,,tRNA pseudouridine synthase A,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3114&e1=1&assembly=complete
PA2018,0.12042306,PA2018,,multidrug efflux protein,"Intracellular trafficking, secretion, and vesicular transport",MexZ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2018&e1=1&assembly=complete
PA2478,0.070874198,PA2478,,thiol:disulfide interchange protein DsbD,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2478&e1=1&assembly=complete
PA2495,0.059883303000000006,oprN,,multidrug efflux outer membrane protein OprN,Cell wall/membrane/envelope biogenesis,"MexS,MexT",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2495&e1=1&assembly=complete
PA2476,0.052705292,dsbG,,thiol:disulfide interchange protein DsbG,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2476&e1=1&assembly=complete
PA2506,0.051207251,PA2506,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2506&e1=1&assembly=complete
PA2477,0.051103118,PA2477,,thiol:disulfide interchange protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2477&e1=1&assembly=complete
