locus,gene_weight,gene_name,gene_product,cog,regulator,gcvB,link
b4612,0.1476281484390005,yrhD,uncharacterized protein YrhD,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10603
b2849,0.1213878314132045,yqeK,protein YqeK,No COG annotation,"gcvB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7469
b3596,0.1174662206226809,yibG,tetratricopeptide-like domain-containing protein YibG,Function unknown,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11763
b0499,0.1077643143606677,ylbH,putative RHS domain-containing protein YlbH,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6271
b4615,0.1070990949853694,yibV,PF15596 family protein YibV,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10605
b2851,0.1033496578475556,ygeG,TPR repeat-containing putative chaperone YgeG,Function unknown,"gcvB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7471
b4586,0.102301014283834,ykfM,uncharacterized protein YkfM,No COG annotation,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10583
b4495,0.1001040682494939,yedN,putative type III secreted effector%2C N-terminal fragment,Function unknown,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7043
b4047,0.0961335168029268,yjbL,uncharacterized protein YjbL,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11930
b2850,0.0952315429686254,ygeF,protein YgeF,No COG annotation,"YeiE,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7470
b4621,0.0949208594128973,yjbS,uncharacterized protein YjbS,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10607
b3504,0.0916631280173242,yhiS,putative uncharacterized protein YhiS,No COG annotation,YbcM,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12238
b2650,0.087503791564323,ypjC,DUF5507 domain-containing protein YpjC,No COG annotation,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7385
b0498,0.0856692884732679,ybbC,PF15631 family protein YbbC,Function unknown,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11769
b2858,0.08447073915027,ygeN,putative type III secretion system protein,No COG annotation,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7478
b2855,0.0830114540962259,ygeK,putative DNA-binding transcriptional regulator YgeK,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7475
b3818,0.0826531993822677,yigG,inner membrane protein,No COG annotation,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11465
b0279,0.0824843292964708,yagM,CP4-6 prophage%3B protein YagM,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6150
b3443,0.0823309830991968,yrhA,putative uncharacterized protein YrhA,No COG annotation,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7760
b4215,0.0805610540345078,ytfI,protein YtfI,No COG annotation,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7870
b4660,0.0788592328992031,yhiL,putative uncharacterized protein YhiL,Function unknown,"gcvB,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12227
b2649,0.0777542994618989,ypjB,DUF5508 domain-containing protein YpjB,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7384
b4257,0.0772774252439058,yjgN,conserved inner membrane protein YjgN,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7887
b3483,0.0760061111824592,yhhH,PF15631 family protein YhhH,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11520
b0501,0.0754451692222238,ybbD,putative uncharacterized protein YbbD,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11770
b1470,0.0745391870630211,yddJ,uncharacterized protein YddJ,Function unknown,YidZ,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6771
b2345,0.0725772851913497,yfdF,protein YfdF,No COG annotation,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7215
b2852,0.0720462086012208,ygeH,putative transcriptional regulator YgeH,Transcription,"RpoD,YdcR,CysB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7472
b1457,0.0720092457237905,ydcD,uncharacterized protein YdcD,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11760
b0278,0.0714188148075451,yagL,CP4-6 prophage%3B resolvase-like catalytic domain-containing protein YagL,"Replication, recombination and repair",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6149
b2856,0.0685930209149369,ygeL,protein YgeL,Transcription,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7476
b4066,0.0684567592677185,yjcF,pentapeptide repeat-containing protein YjcF,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11941
b2625,0.0676553986792376,yfjI,CP4-57 prophage%3B protein YfjI,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7360
b4745,0.0673258540134531,yncO,protein YncO,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16739
b4514,0.0663515928604613,ybfQ,inactive transposase YbfQ,"Replication, recombination and repair",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10440
b3889,0.0643250656004731,yiiE,putative DNA-binding transcriptional regulator YiiE,Transcription,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11854
b1459,0.0636976486870708,yncI,putative transposase YncI,"Replication, recombination and repair",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6767
b1001,0.063214848989076,yccE,uncharacterized protein YccE,No COG annotation,RpoH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12196
b0702,0.0628347124603463,ybfB,uncharacterized protein YbfB,No COG annotation,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11522
b4650,0.0613916040945387,yibS,RHS family protein YibS,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16666
b3121,0.0612311674902279,yhaC,uncharacterized protein YhaC,No COG annotation,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11174
b0218,0.060610116611603,yafU,putative inner membrane protein,Function unknown,"RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6102
b2269,0.060543623634867,elaD,protease ElaD,"Post-translational modification, protein turnover,and chaperones",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7176
b0294,0.0601420854022764,ecpR,DNA-binding transcriptional dual regulator MatA,Transcription,"RpoE,EcpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6165
b0326,0.0599733451442563,yahL,uncharacterized protein YahL,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6191
b3120,0.0598929983658017,yhaB,protein YhaB,No COG annotation,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11173
