locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ComA,link
BSU_25220,0.4445477730246127,antE,hypothetical protein,No COG annotation,Op1998,"SigA,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_25220
BSU_35679,0.24084937200809226,yvzH,putative teichoic acid translocation permease protein tagG (fragment),No COG annotation,Op2777,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_35679
BSU_21925,0.16924972206580985,BSU_21925,hypothetical protein,No COG annotation,Op1766,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_21925
BSU_02585,0.11791041664147338,BSU_02585,hypothetical protein,No COG annotation,Op192,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02585
BSU_14568,0.11287339446451908,BSU_14568,putative antitoxin,No COG annotation,Op1146,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14568
BSU_19915,0.0899114746166988,BSU_19915,hypothetical protein,No COG annotation,Op1559,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_19915
BSU_25830,0.07387972876862398,rapE,response regulator aspartate phosphatase%3B skin element,Function unknown,Op2041,"ComA,CodY",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_25830
BSU_12440,-0.07103587101490398,phrA,secreted inhibitor of the activity of phosphatase RapA (quorum sensing),No COG annotation,Op969,"Spo0A,SigA,ComA,CodY,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12440
BSU_15069,-0.0713108460071734,ylzH,conserved protein%2Cof unknown function,No COG annotation,Op1184,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_15069
BSU_13545,-0.0714406585294909,BSU_13545,hypothetical protein,No COG annotation,Op1062,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_13545
BSU_18920,-0.07187503820940858,phrK,secreted regulator of the activity of phosphatase RapK,No COG annotation,Op1462,"PhoP,SigH,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18920
BSU_04530,-0.0730673803742098,fbpB,regulator of iron homeostasis,Function unknown,Op338,Fur,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04530
BSU_27468,-0.07477278903648943,yrzQ,conserved protein of unknown function,Function unknown,Op2194,"SigG,SigF",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_27468
BSU_36669,-0.07640135459636017,ywzF,conserved protein of unknown function,No COG annotation,Op2856,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_36669
BSU_03788,-0.0850465711384755,yczM,putative type I toxin,No COG annotation,Op285,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03788
BSU_05020,-0.08518449512375455,phrI,ICEBs1 mobile element: secreted regulator of the activity of phosphatase RapI,No COG annotation,Op379,"SigA,ComA,SigH",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_05020
BSU_37470,-0.08724720654137752,phrF,secreted regulator of the activity of phosphatase RapF,No COG annotation,Op2912,"ComA,SigH,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37470
BSU_31720,-0.08777449200713199,degQ,pleiotropic regulator,No COG annotation,Op2493,"SigA,ComA,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_31720
BSU_03780,-0.10806080219346807,phrC,secreted regulator of the activity of phosphatase RapC and competence and sporulation stimulating factor (CSF),No COG annotation,Op284,"SigA,ComA,CodY,SigH,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03780
BSU_14569,-0.10830852313171692,ykzV,putative type I toxin (toxin I motif),No COG annotation,Op1145,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14569
BSU_09959,-0.14739839129636734,sscB,spore and germination protein,No COG annotation,Op775,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09959
