locus,gene_weight,gene_name,gene_product,cog,regulator,XylR,Crp,link
b3566,0.3573259839745821,xylF,xylose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,"Crp,Fis,XylR,spf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20252
b4031,0.3449553811369372,xylE,D-xylose:H(+) symporter,Amino acid transport and metabolism,"RpoD,XylR,Crp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11076
b3567,0.2843413218239828,xylG,xylose ABC transporter ATP binding subunit,Carbohydrate transport and metabolism,"Crp,Fis,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12275
b3568,0.2734912267652538,xylH,xylose ABC transporter membrane subunit,Carbohydrate transport and metabolism,"Crp,Fis,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12276
b3565,0.2714073760405606,xylA,xylose isomerase,Carbohydrate transport and metabolism,"Crp,AraC,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11074
b3657,0.2403079999971228,yicJ,putative xyloside transporter YicJ,Carbohydrate transport and metabolism,"RpoE,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11686
b0270,0.2197525356738771,yagG,putative D-xylonate transporter YagG,Carbohydrate transport and metabolism,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6142
b3564,0.2143025243668186,xylB,xylulokinase,Nucleotide transport and metabolism,"YeiE,Crp,AraC,XylR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11075
b0271,0.2002497051064151,yagH,CP4-6 prophage%3B putative xylosidase/arabinosidase,Carbohydrate transport and metabolism,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6143
b3656,0.1852236086459253,yicI,alpha-D-xyloside xylohydrolase,Carbohydrate transport and metabolism,"YdcN,YdcR,RpoE,ppGpp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11685
b3569,0.1575399636341403,xylR,DNA-binding transcriptional dual regulator XylR,Transcription,"Crp,Fis,ArcA,XylR,ppGpp,dicF",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20253
b3562,0.0892241632757429,yiaA,conserved inner membrane protein YiaA,Function unknown,RpoH,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11186
b3563,0.0818031825099339,yiaB,conserved inner membrane protein YiaB,Function unknown,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11267
b2554,-0.0930178652155351,glrR,DNA-binding transcriptional activator GlrR,Transcription,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11285
b3042,-0.1017128207495302,ubiK,ubiquinone biosynthesis accessory factor UbiK,Function unknown,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7582
