locus,gene_weight,gene_name,gene_product,cog,regulator,CzcR,Fur,link
PA2808,0.1915470146,ptrA,repressor PtrA,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2808&e1=1&assembly=complete
PA3412,0.1622206244,PA3412,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3412&e1=1&assembly=complete
PA0320,0.1517700914,PA0320,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0320&e1=1&assembly=complete
PA2506,0.1484713896,PA2506,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2506&e1=1&assembly=complete
PA2521,0.1412195931,czcB,resistance-nodulation-cell division (RND) divalent metal cation efflux membrane fusion protein CzcB,Cell wall/membrane/envelope biogenesis,CzcR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2521&e1=1&assembly=complete
PA2523,0.1302787597,czcR,two-component response regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2523&e1=1&assembly=complete
PA2520,0.1286894227,czcA,resistance-nodulation-cell division (RND) divalent metal cation efflux transporter CzcA,Inorganic ion transport and metabolism,CzcR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2520&e1=1&assembly=complete
PA2522,0.1266733462,czcC,outer membrane protein CzcC,Cell wall/membrane/envelope biogenesis,CzcR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2522&e1=1&assembly=complete
PA1972,0.11892854430000001,PA1972,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1972&e1=1&assembly=complete
PA4819,0.113261549,PA4819,glycosyl transferase family protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4819&e1=1&assembly=complete
