locus,gene_weight,gene_name,gene_product,cog,regulator,PhnF,PhnR,link
PA1634,0.2077472447,kdpB,potassium-transporting ATPase subunit B,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1634&e1=1&assembly=complete
PA1633,0.1994701718,kdpA,potassium-transporting ATPase subunit A,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1633&e1=1&assembly=complete
PA1635,0.17938443580000002,kdpC,potassium-transporting ATPase subunit C,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1635&e1=1&assembly=complete
PA0740,0.1466256237,sdsA1,SDS hydrolase SdsA1,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0740&e1=1&assembly=complete
PA3383,0.1310419799,PA3383,phosphonate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3383&e1=1&assembly=complete
PA1632,0.1174759935,kdpF,potassium-transporting ATPase subunit F,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1632&e1=1&assembly=complete
PA1606,0.1127968107,PA1606,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1606&e1=1&assembly=complete
PA2804,0.1069341624,PA2804,hypothetical protein,Function unknown,PhnR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2804&e1=1&assembly=complete
PA5367,0.10250086630000001,pstA,phosphate ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5367&e1=1&assembly=complete
PA1636,0.0953510894,kdpD,two-component sensor KdpD,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1636&e1=1&assembly=complete
PA2803,0.09504496300000001,PA2803,hypothetical protein,Function unknown,PhnR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2803&e1=1&assembly=complete
PA3382,0.09351863340000001,phnE,phosphonate transporter PhnE,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3382&e1=1&assembly=complete
PA2428,0.091843187,PA2428,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2428&e1=1&assembly=complete
PA3381,0.0906766359,phnF,transcriptional regulator,Transcription,PhnF,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3381&e1=1&assembly=complete
PA5368,0.0876747981,pstC,phosphate ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5368&e1=1&assembly=complete
PA2882,0.0867052675,PA2882,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2882&e1=1&assembly=complete
PA5366,0.085944453,pstB,phosphate ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5366&e1=1&assembly=complete
PA3296,0.0850025959,phoA,alkaline phosphatase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3296&e1=1&assembly=complete
PA1345,0.0839988386,PA1345,hypothetical protein,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1345&e1=1&assembly=complete
PA3219,0.0830397108,PA3219,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3219&e1=1&assembly=complete
PA3380,0.0814716397,PA3380,hypothetical protein,Inorganic ion transport and metabolism,PhnF,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3380&e1=1&assembly=complete
PA3379,0.07951610690000001,PA3379,carbon-phosphorus lyase complex subunit,Inorganic ion transport and metabolism,PhnF,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3379&e1=1&assembly=complete
PA3384,0.0790138698,phnC,phosphonate ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3384&e1=1&assembly=complete
PA5369,0.07771477410000001,pstS,phosphate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5369&e1=1&assembly=complete
PA0675,0.077569382,vreI,ECF sigma factor VreI,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0675&e1=1&assembly=complete
PA5365,0.0725404416,phoU,phosphate uptake regulatory protein PhoU,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5365&e1=1&assembly=complete
PA3280,0.0708944207,oprO,pyrophosphate-specific outer membrane porin OprO,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3280&e1=1&assembly=complete
PA1637,0.0693112541,kdpE,two-component response regulator KdpE,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1637&e1=1&assembly=complete
PA3279,0.06869261360000001,oprP,phosphate-specific outer membrane porin OprP,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3279&e1=1&assembly=complete
PA3258,0.0673776454,PA3258,hypothetical protein,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3258&e1=1&assembly=complete
PA0842,0.0668223938,PA0842,glycosyl transferase family protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0842&e1=1&assembly=complete
PA4774,0.0650411542,PA4774,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4774&e1=1&assembly=complete
PA5360,0.0641043459,phoB,two-component response regulator PhoB,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5360&e1=1&assembly=complete
PA1638,0.0606240235,PA1638,glutaminase,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1638&e1=1&assembly=complete
PA0674,0.056840076100000005,vreA,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0674&e1=1&assembly=complete
PA5361,0.0563027466,phoR,two-component sensor PhoR,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5361&e1=1&assembly=complete
PA4773,0.053868524800000005,PA4773,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4773&e1=1&assembly=complete
PA2548,0.0527729716,PA2548,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2548&e1=1&assembly=complete
PA4660,0.0524967932,phr,deoxyribodipyrimidine photolyase,"Replication, recombination and repair",PhrR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4660&e1=1&assembly=complete
PA2145,-0.053662704500000005,PA2145,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2145&e1=1&assembly=complete
