locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GadW,GadX,link
b3515,0.350208618,gadW,DNA-binding transcriptional dual regulator GadW,Transcription,gadAXW,"PhoB,YcfQ,SdiA,RpoS,GadX,GadW,Fnr,YdeO,ppGpp,PhoP,RutR,H-NS,GadE,Lrp,GlaR,gadY",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12242
b3516,0.3175499343,gadX,DNA-binding transcriptional dual regulator GadX,Transcription,gadAXW,"PhoB,RpoD,TorR,gadY,RpoS,Fis,Crp,ArcA,Fnr,AdiY,ppGpp,RcsB,RutR,H-NS,GadW,GadX,GadE-RcsB,GadE,Nac,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12243
b1330,0.1848715334,ynaI,small conductance mechanosensitive channel YnaI,Cell wall/membrane/envelope biogenesis,ynaI,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6666
b1329,0.1635418126,mppA,murein tripeptide ABC transporter periplasmic binding protein,Amino acid transport and metabolism,mppA,PgrR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6665
b4128,0.1474667052,ghoS,antitoxin of the GhoTS toxin-antitoxin system,No COG annotation,ghoST,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7830
b3506,0.144492578,slp,starvation lipoprotein,Cell wall/membrane/envelope biogenesis,slp-dctR,"RpoD,gcvB,MarA,GadW,YdeO,ppGpp,GadX,H-NS,GadE-RcsB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11890
b3514,0.134250254,mdtF,multidrug efflux pump RND permease MdtF,Defense mechanisms,gadEF-mdtEF,"RpoD,YidZ,YeiE,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12241
b3513,0.1260337507,mdtE,multidrug efflux pump membrane fusion protein MdtE,Cell wall/membrane/envelope biogenesis,gadEF-mdtEF,"RpoD,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,Nac,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12240
b3507,0.1042533306,dctR,putative DNA-binding transcriptional regulator DctR,Transcription,slp-dctR,"RpoD,MarA,GadW,YdeO,H-NS,GadX,GadE-RcsB,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11889
b2217,-0.0800841742,rcsB,DNA-binding transcriptional activator RcsB,Transcription,rcsDB,"RpoD,H-NS",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10821
b4115,-0.0851563281,adiC,arginine:agmatine antiporter,Amino acid transport and metabolism,adiC,"PhoB,RpoH,GadE-RcsB",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12462
b1492,-0.08620969290000001,gadC,L-glutamate:4-aminobutyrate antiporter,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6786
b4117,-0.11225814340000001,adiA,arginine decarboxylase%2C degradative,Amino acid transport and metabolism,adiA,"RpoD,H-NS,AdiY,IHF",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11501
