locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArcA,AppY,RpoS,YdeO,link
b0972,0.2940776399,hyaA,hydrogenase 1 small subunit,Energy production and conversion,hyaABCDEF,"RpoD,RpoS,Fis,AppY,NarP,NarL,YdeO,ArcA,IscR",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10468
b0973,0.2869765751,hyaB,hydrogenase 1 large subunit,Energy production and conversion,hyaABCDEF,"RpoD,RpoS,Fis,AppY,NarP,NarL,YdeO,ArcA,IscR",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10469
b0976,0.2675453023,hyaE,putative HyaA chaperone,Function unknown,hyaABCDEF,"RpoD,RpoS,Fis,AppY,NarP,NarL,YdeO,ArcA,IscR",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10472
b0974,0.2654768837,hyaC,hydrogenase 1 cytochrome b subunit,Energy production and conversion,hyaABCDEF,"RpoD,RpoS,Fis,AppY,NarP,NarL,YdeO,ArcA,IscR",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10470
b0977,0.2476538923,hyaF,protein HyaF,Energy production and conversion,hyaABCDEF,"RpoD,RpoS,Fis,AppY,NarP,NarL,YdeO,ArcA,IscR",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10473
b0975,0.2422064837,hyaD,putative hydrogenase 1 maturation protease HyaD,"Post-translational modification, protein turnover,and chaperones",hyaABCDEF,"RpoD,RpoS,Fis,AppY,NarP,NarL,YdeO,ArcA,IscR",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10471
b0978,0.2098296087,appC,cytochrome bd-II ubiquinol oxidase subunit I,Energy production and conversion,appCBXA,"RpoD,RpoS,ArcA,AppY,YdeO",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11380
b0979,0.20278314990000001,appB,cytochrome bd-II ubiquinol oxidase subunit II,Energy production and conversion,appCBXA,"RpoD,YidZ,RpoS,ArcA,AppY,YdeO",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11379
b4330,0.1594371718,yjiH,Gate family protein YjiH,Function unknown,yjiHG-iadA,,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7927
b0980,0.1336004748,appA,periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase,Function unknown,appCBXA,"RpoD,RpoS,ArcA,AppY,YdeO,ppGpp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10049
b4117,0.1271109091,adiA,arginine decarboxylase%2C degradative,Amino acid transport and metabolism,adiA,"RpoD,H-NS,AdiY,IHF",False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11501
b4115,0.1243205084,adiC,arginine:agmatine antiporter,Amino acid transport and metabolism,adiC,"PhoB,RpoH,GadE-RcsB",False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12462
b4329,0.1105106523,yjiG,Gate family protein YjiG,Function unknown,yjiHG-iadA,,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7926
b2996,0.0740530279,hybA,hydrogenase 2 iron-sulfur protein,Energy production and conversion,hybOABCDEFG,"RpoD,ArcA,NarL",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11799
