locus,gene_weight,gene_name,gene_product,cog,regulator,PA1226,link
PA0716,0.1418670928,xisF4,hypothetical protein,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0716&e1=1&assembly=complete
PA2227,0.135296735,vqsM,HTH-type transcriptional regulator VqsM,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2227&e1=1&assembly=complete
PA2461,0.1351559106,PA2461,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2461&e1=1&assembly=complete
PA3154,0.1319632757,wzy,B-band O-antigen polymerase,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3154&e1=1&assembly=complete
PA1371,0.1316506154,PA1371,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1371&e1=1&assembly=complete
PA0715,0.1303723212,PA0715,hypothetical protein,"Replication, recombination and repair",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0715&e1=1&assembly=complete
PA2459,0.1284909526,PA2459,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2459&e1=1&assembly=complete
PA0981,0.12826235190000002,PA0981,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0981&e1=1&assembly=complete
PA2226,0.1198781817,PA2226,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2226&e1=1&assembly=complete
PA2224,0.1193969423,PA2224,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2224&e1=1&assembly=complete
PA2037,0.1182885406,PA2037,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2037&e1=1&assembly=complete
PA3149,0.11647128500000001,wbpH,glycosyltransferase WbpH,Cell wall/membrane/envelope biogenesis,PA1226,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3149&e1=1&assembly=complete
PA3150,0.1131342966,wbpG,LPS biosynthesis protein WbpG,"Cell cycle control, cell division, chromosome partitioning",PA1226,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3150&e1=1&assembly=complete
PA1369,0.1119164748,PA1369,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1369&e1=1&assembly=complete
PA1372,0.10802382490000001,PA1372,hypothetical protein,Nucleotide transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1372&e1=1&assembly=complete
PA3152,0.1071935245,hisH2,imidazole glycerol phosphate synthase subunit HisH,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3152&e1=1&assembly=complete
PA3153,0.10588936060000001,wzx,O-antigen translocase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3153&e1=1&assembly=complete
PA3291,0.10427559430000001,PA3291,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3291&e1=1&assembly=complete
PA3160,0.1020448471,wzz,O-antigen chain length regulator,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3160&e1=1&assembly=complete
PA3151,0.100119131,hisF2,imidazole glycerol phosphate synthase subunit HisF,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3151&e1=1&assembly=complete
PA2228,0.0994030818,PA2228,hypothetical protein,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2228&e1=1&assembly=complete
PA0984,0.09841456,PA0984,colicin immunity protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0984&e1=1&assembly=complete
PA3865a,0.0944945529,PA3865a,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3865a&e1=1&assembly=complete
PA1151,0.0931497886,imm2,pyocin-S2 immunity protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1151&e1=1&assembly=complete
PA3148,0.09026035090000001,wbpI,UDP-2%2C3-diacetamido-2%2C3-dideoxy-D-glucuronate 2-epimeras,Cell wall/membrane/envelope biogenesis,PA1226,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3148&e1=1&assembly=complete
PA0985,0.083828128,pyoS5,pyocin S5,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0985&e1=1&assembly=complete
PA5088,0.08061209920000001,PA5088,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5088&e1=1&assembly=complete
PA2222,0.0799283883,PA2222,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2222&e1=1&assembly=complete
PA1509,0.0782785991,PA1509,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1509&e1=1&assembly=complete
PA1370,0.0782015772,PA1370,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1370&e1=1&assembly=complete
PA3292,0.0770348847,PA3292,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3292&e1=1&assembly=complete
PA1385,0.072632843,PA1385,glycosyl transferase family protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1385&e1=1&assembly=complete
PA2223,0.0688967547,PA2223,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2223&e1=1&assembly=complete
PA5264,0.0676808188,PA5264,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5264&e1=1&assembly=complete
PA2730,0.0671887312,PA2730,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2730&e1=1&assembly=complete
PA1384,0.0655309138,galE,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1384&e1=1&assembly=complete
PA3155,0.0655247538,wbpE,UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3155&e1=1&assembly=complete
PA2036,0.0644785905,PA2036,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2036&e1=1&assembly=complete
PA1150,0.0640073689,pys2,pyocin-S2,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1150&e1=1&assembly=complete
PA3157,0.0636430675,PA3157,acetyltransferase,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3157&e1=1&assembly=complete
PA3488,0.0624916265,PA3488,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3488&e1=1&assembly=complete
PA2225,0.062046152300000004,PA2225,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2225&e1=1&assembly=complete
PA0826,0.0616703851,PA0826,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0826&e1=1&assembly=complete
PA4295,0.0608762538,fppA,Flp prepilin peptidase FppA,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4295&e1=1&assembly=complete
PA3145,0.0600554323,wbpL,glycosyltransferase WbpL,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3145&e1=1&assembly=complete
PA5087,0.0591791147,PA5087,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5087&e1=1&assembly=complete
PA2460,0.0579497636,PA2460,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2460&e1=1&assembly=complete
PA2570,0.0577933686,lecA,PA-I galactophilic lectin,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2570&e1=1&assembly=complete
PA3866,0.0569266135,PA3866,pyocin protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3866&e1=1&assembly=complete
PA3835,0.0569201581,PA3835,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3835&e1=1&assembly=complete
PA4674,0.0563578593,PA4674,hypothetical protein,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4674&e1=1&assembly=complete
PA3147,0.0558997362,wbpJ,glycosyl transferase WbpJ,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3147&e1=1&assembly=complete
PA3158,0.0557040244,wbpB,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3158&e1=1&assembly=complete
