locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Dnr,NorR,link
PA0523,0.348831563,norC,,nitric oxide reductase subunit C,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0523&e1=1&assembly=complete
PA0524,0.30166275,norB,,nitric oxide reductase subunit B,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0524&e1=1&assembly=complete
PA0525,0.24445274,PA0525,,denitrification protein NorD,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0525&e1=1&assembly=complete
PA3392,0.225927014,nosZ,,nitrous-oxide reductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3392&e1=1&assembly=complete
PA3391,0.20829745100000002,nosR,,regulatory protein NosR,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3391&e1=1&assembly=complete
PA0519,0.18520761,nirS,,nitrite reductase,Energy production and conversion,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0519&e1=1&assembly=complete
PA0518,0.18430590900000002,nirM,,cytochrome C-551,Energy production and conversion,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0518&e1=1&assembly=complete
PA3393,0.16667321000000002,nosD,,copper-binding periplasmic protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3393&e1=1&assembly=complete
PA0521,0.152504377,PA0521,,cytochrome C oxidase subunit,Energy production and conversion,Dnr,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0521&e1=1&assembly=complete
PA0517,0.15122380400000002,nirC,,cytochrome c55X,Energy production and conversion,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0517&e1=1&assembly=complete
PA0526,0.147574119,PA0526,,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0526&e1=1&assembly=complete
PA3394,0.13373110800000002,nosF,,copper ABC transporter ATP-binding protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3394&e1=1&assembly=complete
PA0516,0.133349811,nirF,,heme d1 biosynthesis protein NirF,Function unknown,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0516&e1=1&assembly=complete
PA3395,0.127169404,nosY,,membrane protein NosY,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3395&e1=1&assembly=complete
PA0513,0.12040078800000001,PA0513,,heme d1 biosynthesis protein NirG,Transcription,"Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0513&e1=1&assembly=complete
PA0515,0.11533581100000001,PA0515,,heme d1 biosynthesis protein NirD,Transcription,"Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0515&e1=1&assembly=complete
PA2664,0.111504037,fhp,,flavohemoprotein,Energy production and conversion,NorR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2664&e1=1&assembly=complete
PA0522,0.108422685,PA0522,,hypothetical protein,Function unknown,Dnr,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0522&e1=1&assembly=complete
PA0514,0.10714090300000001,nirL,,heme d1 biosynthesis protein NirL,Transcription,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0514&e1=1&assembly=complete
PA3396,0.10566173,nosL,,acessory protein NosL,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3396&e1=1&assembly=complete
PA0511,0.095843282,nirJ,,heme d1 biosynthesis protein NirJ,Energy production and conversion,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0511&e1=1&assembly=complete
PA0520,0.092868617,nirQ,,denitrification regulatory protein NirQ,Function unknown,Dnr,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0520&e1=1&assembly=complete
PA0512,0.087940455,PA0512,,heme d1 biosynthesis protein NirH,Transcription,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0512&e1=1&assembly=complete
PA1137,0.065605174,PA1137,,oxidoreductase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1137&e1=1&assembly=complete
PA0510,0.063425629,PA0510,,uroporphyrin-III C-methyltransferase,Coenzyme transport and metabolism,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0510&e1=1&assembly=complete
PA2662,0.06328871500000001,PA2662,,hypothetical protein,Inorganic ion transport and metabolism,NorR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2662&e1=1&assembly=complete
PA0509,0.061300997,nirN,,cytochrome C,Energy production and conversion,"Anr,Anr,Dnr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0509&e1=1&assembly=complete
PA2663,0.055755299,ppyR,,psl and pyoverdine operon regulator PpyR,No COG annotation,NorR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2663&e1=1&assembly=complete
PA3303a,0.049822628,PA3303a,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3303a&e1=1&assembly=complete
PA3913,0.046685929,PA3913,,protease,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3913&e1=1&assembly=complete
