locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ArcA,link
b4735,0.29530452360000004,ybgU,protein YbgU,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16730
b1422,0.2046433886,ydcI,putative DNA-binding transcriptional repressor YdcI,Transcription,ydcI,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6737
b2980,0.19431677090000002,glcC,DNA-binding transcriptional dual regulator GlcC,Transcription,glcC,"RpoD,Crp,Fis,Cra,GlcC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7546
b2181,0.1863151367,yejG,protein YejG,Function unknown,yejG,"Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12042
b3820,0.18112571460000002,yigI,putative thioesterase YigI,"Secondary metabolites biosynthesis, transport, and catabolism",yigI,"Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11467
b1020,0.1577804303,phoH,ATP-binding protein PhoH,Signal transduction mechanisms,phoH,"RpoD,ppGpp,PhoB,Lrp,Nac,GlaR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11734
b0346,0.1529900238,mhpR,DNA-binding transcriptional activator MhpR,Transcription,mhpR-lacI,"RpoD,YbaQ,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6201
b2210,0.14908022740000001,mqo,malate:quinone oxidoreductase,Energy production and conversion,mqo,"Lrp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12069
b1298,0.13093369670000002,puuD,gamma-glutamyl-gamma-aminobutyrate hydrolase,Function unknown,puuDRCBE,"RpoS,ArcA,Crp,ppGpp,PuuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6645
b0721,0.11797771530000001,sdhC,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,YdcI,YdiP,Fur,Crp,Fnr,ArcA,Nac,rybB,ryhB,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10933
b0313,0.0985072183,betI,DNA-binding transcriptional repressor BetI,Transcription,betIBA,"RpoD,ArcA,Cra,BetI,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10111
b3603,0.0973007387,lldP,lactate/glycolate:H(+) symporter LldP,Energy production and conversion,lldPRD,"RpoD,YdcI,ArcA,LldR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11961
b1297,0.0962161796,puuA,glutamate-putrescine ligase,Amino acid transport and metabolism,puuAP,"RpoS,ArcA,Fnr,ppGpp,PuuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6644
b0314,0.09225123660000001,betT,choline:H(+) symporter,Cell wall/membrane/envelope biogenesis,betT,"RpoD,ArcA,Cra,BetI",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10112
b4340,0.0921548277,yjiR,fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,Transcription,yjiR,"ppGpp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7936
b2537,0.083717837,hcaR,DNA-binding transcriptional dual regulator HcaR,Transcription,hcaR,"HcaR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7331
b2587,0.0796447297,kgtP,alpha-ketoglutarate:H(+) symporter,Amino acid transport and metabolism,kgtP,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10522
b0330,0.0766083714,prpR,DNA-binding transcriptional dual regulator PrpR,Transcription,prpR,"RpoD,PrpR,Crp,AscG,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6195
b2518,0.07601599390000001,ndk,nucleoside diphosphate kinase,Nucleotide transport and metabolism,ndk,"ppGpp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10650
b1163,0.0752643132,bluF,blue light-responsive regulator of BluR,Signal transduction mechanisms,bluF,"RpoD,YfeC,RcdA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6603
b4332,0.0743258764,yjiJ,putative transporter YjiJ,Amino acid transport and metabolism,yjiJ,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7929
