locus,gene_weight,gene_name,gene_product,cog,regulator,Sigma factor X,ArgR,link
PA0896,0.2209198107,aruF,arginine N-succinyltransferase subunit alpha,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0896&e1=1&assembly=complete
PA0897,0.2199803531,aruG,arginine N-succinyltransferase subunit beta,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0897&e1=1&assembly=complete
PA0898,0.2020694101,aruD,N-succinylglutamate 5-semialdehyde dehydrogenase,Energy production and conversion,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0898&e1=1&assembly=complete
PA0895,0.1814920515,aruC,acetylornithine aminotransferase,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0895&e1=1&assembly=complete
PA0899,0.16491441440000001,aruB,N-succinylarginine dihydrolase,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0899&e1=1&assembly=complete
PA3068,0.1631907306,gdhB,NAD-specific glutamate dehydrogenase,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3068&e1=1&assembly=complete
PA0888,0.1415123959,aotJ,arginine/ornithine ABC transporter substrate-binding protein AotJ,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0888&e1=1&assembly=complete
PA1818,0.1401187022,ldcA,lysine-specific pyridoxal 5'-phosphate-dependent carboxylase LdcA,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1818&e1=1&assembly=complete
PA0889,0.1274209913,aotQ,arginine/ornithine ABC transporter permease AotQ,Inorganic ion transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0889&e1=1&assembly=complete
PA0890,0.1231058317,aotM,arginine/ornithine ABC transporter permease AotM,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0890&e1=1&assembly=complete
PA0891,0.1206329478,PA0891,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0891&e1=1&assembly=complete
PA0892,0.1177024735,aotP,arginine/ornithine ABC transporter ATP-binding protein AotP,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0892&e1=1&assembly=complete
PA0328,0.11738899100000001,PA0328,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0328&e1=1&assembly=complete
PA5154,0.1096052151,PA5154,ABC transporter permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5154&e1=1&assembly=complete
PA3934,0.10075904470000001,PA3934,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3934&e1=1&assembly=complete
PA5170,0.0958277708,arcD,arginine/ornithine antiporter,Amino acid transport and metabolism,"ArgR,Anr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5170&e1=1&assembly=complete
PA5152,0.0953723758,PA5152,ABC transporter ATP-binding protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5152&e1=1&assembly=complete
PA5153,0.0929658378,PA5153,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5153&e1=1&assembly=complete
PA2111,0.08838799230000001,PA2111,hypothetical protein,Amino acid transport and metabolism,AmiE,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2111&e1=1&assembly=complete
PA0901,0.08795965500000001,aruE,succinylglutamate desuccinylase,Amino acid transport and metabolism,ArgR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0901&e1=1&assembly=complete
PA5155,0.0841013337,PA5155,amino acid ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5155&e1=1&assembly=complete
PA1073,0.08017807610000001,braD,branched-chain amino acid ABC transporter permease BraD,Amino acid transport and metabolism,Sigma factor X,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1073&e1=1&assembly=complete
PA0893,0.0785013953,argR,transcriptional regulator ArgR,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0893&e1=1&assembly=complete
PA5172,0.07541617190000001,arcB,ornithine carbamoyltransferase,Amino acid transport and metabolism,"ArgR,Anr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5172&e1=1&assembly=complete
PA1072,0.07369811200000001,braE,branched-chain amino acid ABC transporter permease BraE,Amino acid transport and metabolism,Sigma factor X,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1072&e1=1&assembly=complete
PA1819,0.0715952676,PA1819,amino acid permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1819&e1=1&assembly=complete
PA5171,0.07130012720000001,arcA,arginine deiminase,Amino acid transport and metabolism,"ArgR,Anr",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5171&e1=1&assembly=complete
PA4496,0.0663026948,PA4496,ABC transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4496&e1=1&assembly=complete
PA5173,0.0658567656,arcC,carbamate kinase,Amino acid transport and metabolism,Anr,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5173&e1=1&assembly=complete
