locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Lrp,link
b3458,0.2581286666,livK,L-leucine/L-phenylalanine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,livKHMGF,"RpoD,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10540
b3457,0.24419703650000002,livH,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH,Amino acid transport and metabolism,livKHMGF,"RpoD,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10538
b3456,0.23182195500000002,livM,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM,Inorganic ion transport and metabolism,livKHMGF,"RpoD,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10541
b3455,0.2267008864,livG,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG,Inorganic ion transport and metabolism,livKHMGF,"RpoD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10537
b3454,0.2138700932,livF,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF,Inorganic ion transport and metabolism,livKHMGF,"RpoD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10536
b3460,0.20270319520000002,livJ,branched chain amino acid/phenylalanine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,livJ,"RpoD,gcvB,Lrp,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10539
b3523,0.1898707281,yhjE,putative transporter YhjE,Inorganic ion transport and metabolism,yhjE,"ppGpp,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12249
b2669,0.1202602437,stpA,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,stpA,"RpoD,StpA,Lrp,H-NS,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11554
b0077,0.1034945044,ilvI,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,ilvIH,"RpoD,YeiE,dsrA,H-NS,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10500
b0078,0.09995463800000001,ilvH,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,ilvIH,"RpoD,H-NS,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10499
b3829,0.08473497740000001,metE,cobalamin-independent homocysteine transmethylase,Amino acid transport and metabolism,metE,"OxyR,YcjW,MetJ,MetR,Nac,fnrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10584
b3774,0.0788758002,ilvC,ketol-acid reductoisomerase (NADP(+)),Amino acid transport and metabolism,ilvC,"RpoD,gcvB,IlvY",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10495
b1814,-0.061987243100000006,sdaA,L-serine deaminase I,Amino acid transport and metabolism,sdaA,"RpoH,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10930
b1798,-0.062876049,leuE,leucine exporter,Amino acid transport and metabolism,leuE,"Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6984
b3496,-0.0631431414,dtpB,dipeptide/tripeptide:H(+) symporter DtpB,"Intracellular trafficking, secretion, and vesicular transport",dtpB,"YfeC,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12232
b4740,-0.0637432335,ymgM,protein YmgM,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16735
b1907,-0.0643257512,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,tyrP,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b4045,-0.06504804900000001,yjbJ,putative stress response protein,Function unknown,yjbJ,"Lrp,FliZ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11928
b0381,-0.0684158031,ddlA,D-alanine--D-alanine ligase A,Nucleotide transport and metabolism,ddlA,"YdcI,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10213
