locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Zur,link
BSU_03359,0.4053188041616623,yczL,hypothetical protein,No COG annotation,Op251,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03359
BSU_03360,0.3145357499347319,zinU,zinc metallochaperone with NTPase activity,Function unknown,Op251,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03360
BSU_03350,0.29193170079837405,yciB,putative Zn(2+)-dependent division lipoprotein (schizosome),Cell wall/membrane/envelope biogenesis,Op251,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03350
BSU_03340,0.2726868128742918,folEB,GTP cyclohydrolase I,Function unknown,Op251,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03340
BSU_26830,0.2635358660429528,zinT,lipoprotein buffering protein for Zn2+ transport,Function unknown,Op2146,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_26830
BSU_26827,0.2394107036339104,BSU_26827,hypothetical protein,No COG annotation,Op2145,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_26827
BSU_30700,0.22329206393275616,rpmEB,ribosomal protein L31,"Translation, ribosomal structure and biogenesis",Op2426,"SigB,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_30700
BSU_08880,0.21085594178920952,rpsNB,alternative ribosomal protein S14,"Translation, ribosomal structure and biogenesis",Op688,"Zur,YlxR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_08880
BSU_02850,0.21075427206310932,znuA,Zn(II)-binding lipoprotein,Inorganic ion transport and metabolism,Op219,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02850
BSU_23836,0.15802508323119427,rpmGCc,ribosomal protein L33* pseudogene,"Translation, ribosomal structure and biogenesis",Op1906,Zur,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_23836
BSU_23837,0.14850276058931378,rpmGCn,ribosomal protein L33C pseudogene,No COG annotation,Op1907,Zur,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_23837
BSU_02860,0.12182039352383367,znuC,Zn(II) transporter (ATP-binding protein),Inorganic ion transport and metabolism,Op219,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02860
BSU_02870,0.11087863666506977,znuB,high affinity Zn(II) ABC transporter (permease),Inorganic ion transport and metabolism,Op219,"SigA,Zur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02870
BSU_03385,0.08298712851546852,BSU_03385,hypothetical protein,No COG annotation,Op254,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03385
BSU_05409,0.0599218470540033,ydzQ,hypothetical protein,No COG annotation,Op424,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_05409
