locus,gene_weight,gene_name,gene_product,cog,regulator,TagR1,Sfa2,link
PA0083,0.1599972921,PA0083,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0083&e1=1&assembly=complete
PA0084,0.1521862643,PA0084,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0084&e1=1&assembly=complete
PA0085,0.1516071478,hcp1,protein secretion apparatus assembly protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0085&e1=1&assembly=complete
PA0087,0.1501937429,PA0087,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0087&e1=1&assembly=complete
PA0088,0.1467264651,PA0088,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0088&e1=1&assembly=complete
PA0089,0.1436223885,PA0089,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0089&e1=1&assembly=complete
PA0086,0.1309781663,PA0086,hypothetical protein,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0086&e1=1&assembly=complete
PA0090,0.1308354464,clpV1,secretion protein ClpV1,"Post-translational modification, protein turnover,and chaperones",TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0090&e1=1&assembly=complete
PA0091,0.1299771867,vgrG1,type VI secretion system protein VgrG,Function unknown,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0091&e1=1&assembly=complete
PA0078,0.1209520194,PA0078,hypothetical protein,Cell motility,TagR1,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0078&e1=1&assembly=complete
