locus,gene_weight,gene_name,gene_product,cog,regulator,phoB,link
STM3857,0.37816637350000004,pstS,high-affinity phosphate transporter,Inorganic ion transport and metabolism,"fnr,ihf,phoB,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3857
STM3856,0.3037350261,pstC,high-affinity phosphate transporter,Inorganic ion transport and metabolism,"fnr,ihf,phoB,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3856
STM3855,0.2841319486,pstA,high-affinity phosphate transporter,Inorganic ion transport and metabolism,"fnr,ihf,phoB,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3855
STM3854,0.2438345382,pstB,high-affinity phosphate transporter,Inorganic ion transport and metabolism,"fnr,ihf,phoB,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3854
STM3853,0.2074490605,phoU,regulatory gene for high affinity phosphate uptake,Inorganic ion transport and metabolism,"fnr,ihf,phoB,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3853
STM0398,0.199806482,phoR,sensory kinase in two-component regulatory system with PhoB%2C regulates pho regulon,Signal transduction mechanisms,"phoB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0398
STM0397,0.1981755792,phoB,response regulator in two-component regulatory system with PhoR (or CreC),Transcription,"phoB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0397
STM0320,0.1318052978,phoE,outer membrane pore protein e (e%2Cic%2Cnmpab),Cell wall/membrane/envelope biogenesis,"phoB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0320
STM0429,0.1146320203,phnS,2-aminoethylphosphonate transporter%2C periplasmic-binding component,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0429
STM3557,0.1012251999,ugpB,sn-glycerol 3-phosphate transport protein,Carbohydrate transport and metabolism,"arcA,crp,phoB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3557
STM3764,0.1011625206,mgtC,Mg2+ transport protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3764
STM0428,0.1009974497,phnT,2-aminoethylphosphonate transporter ATPase component,Amino acid transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0428
STM0427,0.09809172590000001,phnU,2-aminoethylphosphonate transporter%2C memrane component,"Intracellular trafficking, secretion, and vesicular transport",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0427
STM0426,0.0864694843,phnV,2-aminoethylphosphonate transporter%2C memrane component,"Intracellular trafficking, secretion, and vesicular transport",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0426
STM3556,0.07893081510000001,ugpA,sn-glycerol 3-phosphate transport protein,Carbohydrate transport and metabolism,"arcA,crp,phoB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3556
