locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,yybP-ykoY,Zur,link
PA5536,0.24375284200000003,PA5536,,hypothetical protein,Signal transduction mechanisms,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5536&e1=1&assembly=complete
PA0781,0.21815679400000001,PA0781,,hypothetical protein,Inorganic ion transport and metabolism,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0781&e1=1&assembly=complete
PA5539,0.213746823,PA5539,,GTP cyclohydrolase,Function unknown,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5539&e1=1&assembly=complete
PA1925,0.21041651500000003,PA1925,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1925&e1=1&assembly=complete
PA1922,0.208877956,PA1922,,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1922&e1=1&assembly=complete
PA5541,0.20872005100000002,pyrQ,,dihydroorotase,Nucleotide transport and metabolism,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5541&e1=1&assembly=complete
PA5540,0.20457138300000002,PA5540,,hypothetical protein,Function unknown,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5540&e1=1&assembly=complete
PA5534,0.202222861,PA5534,,hypothetical protein,Function unknown,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5534&e1=1&assembly=complete
PA5535,0.199590166,PA5535,,hypothetical protein,Function unknown,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5535&e1=1&assembly=complete
PA5538,0.19346221400000002,amiA,,N-acetylmuramoyl-L-alanine amidase,Cell wall/membrane/envelope biogenesis,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5538&e1=1&assembly=complete
PA1924,0.192792907,PA1924,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1924&e1=1&assembly=complete
PA3601,0.17666367800000002,PA3601,,50S ribosomal protein L31 type B,"Translation, ribosomal structure and biogenesis",Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3601&e1=1&assembly=complete
PA4837,0.176192606,PA4837,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4837&e1=1&assembly=complete
PA3600,0.17472852600000002,PA3600,,50S ribosomal protein L36,"Translation, ribosomal structure and biogenesis",Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3600&e1=1&assembly=complete
PA4836,0.17381708,PA4836,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4836&e1=1&assembly=complete
PA1923,0.16771402600000002,PA1923,,cobaltochelatase subunit CobN,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1923&e1=1&assembly=complete
PA4063,0.164328325,PA4063,,hypothetical protein,Inorganic ion transport and metabolism,Zur,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4063&e1=1&assembly=complete
PA4835,0.152086153,PA4835,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4835&e1=1&assembly=complete
PA4834,0.149248028,PA4834,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4834&e1=1&assembly=complete
PA4065,0.135616614,PA4065,,hypothetical protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4065&e1=1&assembly=complete
PA1921,0.129868346,PA1921,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1921&e1=1&assembly=complete
