locus,gene_weight,gene_name,gene_product,cog,regulator,SoxS,link
b4062,0.2622969824476219,soxS,DNA-binding transcriptional dual regulator SoxS,Transcription,"RpoD,Fur,Fnr,AcrR,SoxR,SoxS,Lrp,mgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10958
b3924,0.205283555110936,fpr,flavodoxin/ferredoxin-NADP(+) reductase,Energy production and conversion,"RpoD,ppGpp,MarA,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10628
b1611,0.2043167021101634,fumC,fumarase C,Energy production and conversion,"RpoD,RpoS,Fur,Fnr,ArcA,Crp,MarA,Rob,SoxR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10358
b1378,0.1977463263385964,ydbK,putative pyruvate-flavodoxin oxidoreductase,Energy production and conversion,"ryhB,RpoS,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b1463,0.1827471574392442,nhoA,arylamine N-acetyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6770
b3908,0.161262960608589,sodA,superoxide dismutase (Mn),Inorganic ion transport and metabolism,"RpoD,Rob,SoxR,fnrS,Fnr,Crp,ArcA,MarA,IHF,SoxS,Fur,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
b2159,0.1483992189985997,nfo,endonuclease IV,"Replication, recombination and repair","RpoD,Rob,SoxS,MarA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10651
b2160,0.1460878524387584,yeiI,putative sugar kinase YeiI,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12028
b4536,0.1424561816182671,yobH,protein YobH,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
b1377,0.1420305038708999,ompN,outer membrane porin N,Cell wall/membrane/envelope biogenesis,"RpoD,RpoS,SoxS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6700
b0871,0.1403681744450774,poxB,pyruvate oxidase,Energy production and conversion,"RpoD,SoxS,RpoS,MarA,Cra,NarP,ppGpp,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b0850,0.1390378209930004,ybjC,DUF1418 domain-containing protein YbjC,Function unknown,"RpoD,Rob,MarA,OxyR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b0851,0.1378843460919506,nfsA,NADPH-dependent nitroreductase NfsA,Energy production and conversion,"RpoD,Rob,MarA,OxyR,SoxS,SdsN",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11261
b3909,0.1359939248694402,kdgT,2-dehydro-3-deoxy-D-gluconate:H(+) symporter,"Intracellular trafficking, secretion, and vesicular transport",GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11869
b2237,0.1335648059203599,inaA,putative lipopolysaccharide kinase InaA,Signal transduction mechanisms,"RpoD,MarA,Rob,SoxS,GlaR,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11422
b2962,0.125076827482822,yggX,putative Fe(2(+))-trafficking protein,Energy production and conversion,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7532
b0852,0.1092699283773714,rimK,ribosomal protein S6 modification protein,Nucleotide transport and metabolism,"RpoD,Rob,MarA,OxyR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10852
b1852,0.1092030417920189,zwf,NADP(+)-dependent glucose-6-phosphate dehydrogenase,Nucleotide transport and metabolism,"RpoD,YciT,Fur,Fnr,Cra,MarA,Rob,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11221
b2963,0.1061848312326383,mltC,membrane-bound lytic murein transglycosylase C,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7533
b1053,0.1053299787381959,mdtG,efflux pump MdtG,Amino acid transport and metabolism,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11343
b0684,0.1017934328268889,fldA,flavodoxin 1,Energy production and conversion,SoxS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10318
b1277,0.101540006622932,ribA,GTP cyclohydrolase 2,Nucleotide transport and metabolism,"RpoD,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11331
b3519,0.1009095529972206,treF,cytoplasmic trehalase,Carbohydrate transport and metabolism,"YfeD,RpoS,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12245
b2898,0.1003000620566967,ygfZ,folate-binding protein,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7511
