locus,gene_weight,gene_name,gene_product,cog,regulator,Fnr,link
b2579,0.3016386730156364,grcA,stress-induced alternate pyruvate formate-lyase subunit,Function unknown,"PdhR,RpoD,YfeD,YneJ,Fur,Crp,Fis,ArcA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11784
b4589,0.2610974556981478,ylcI,DLP12 prophage%3B DUF3950 domain-containing protein YlcI,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10585
b1541,0.260869522190038,ydfZ,putative selenoprotein YdfZ,Function unknown,Fnr,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6815
b1256,0.250839698631818,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,"rybB,ArcA,Crp,NarL,Fnr,SoxS,Fur,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
b3158,0.2249309758929837,yhbU,putative peptidase YhbU,"Post-translational modification, protein turnover,and chaperones",Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7652
b0836,0.2240467602598769,bssR,regulator of biofilm formation,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
b1593,0.1944562897637681,ynfK,putative dethiobiotin synthetase,Coenzyme transport and metabolism,"RpoD,RpoH,Crp,Mlc,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6851
b4533,0.1704809569614545,ynfO,Qin prophage%3B protein YnfO,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10452
b3476,0.1684838493474667,nikA,Ni(2(+)) ABC transporter periplasmic binding protein,Amino acid transport and metabolism,"RpoN,NarL,NikR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12075
b1750,0.148677057140263,ydjX,DedA family protein YdjX,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6945
b0904,0.1416042009491114,focA,formate channel FocA,Inorganic ion transport and metabolism,"RpoD,YqhC,ArcA,Crp,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11258
b3365,0.137943739645064,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b2111,0.1325529293064466,yehD,putative fimbrial protein YehD,Cell motility,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11990
b1906,0.1020604289464252,yecH,DUF2492 domain-containing protein YecH,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7036
b0894,0.0958507036747882,dmsA,dimethyl sulfoxide reductase subunit A,Energy production and conversion,"RpoD,YciT,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10232
b3060,0.092702119262538,ttdR,DNA-binding transcriptional activator Dan,Transcription,"TtdR,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12694
b3408,0.0887939415448035,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,"RpoD,Fur,Fnr,NagC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b3159,0.0876638670300478,yhbV,putative peptidase YhbV,"Post-translational modification, protein turnover,and chaperones",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7653
b3211,0.0814319654124205,yhcC,radical SAM family oxidoreductase YhcC,Function unknown,"YihW,YahB,YjhI,YhjC,YiaU,YedW,ArgR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7669
b1223,0.0786178874151018,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,"RpoD,Fis,IHF,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1751,0.0776320009644433,ydjY,4Fe-4S ferredoxin-type domain-containing protein YdjY,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6946
b4238,0.0756751991914192,nrdD,anaerobic ribonucleoside-triphosphate reductase,Nucleotide transport and metabolism,"RpoD,NrdR,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11417
b4756,0.0747014306113055,yqiD,protein YqiD,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16750
b2208,0.0725018484178189,napF,ferredoxin-type protein,Energy production and conversion,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b1474,0.0724709759516115,fdnG,formate dehydrogenase N subunit alpha,Energy production and conversion,"RpoD,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b4380,0.0713447763224059,yjjI,DUF3029 domain-containing protein YjjI,Nucleotide transport and metabolism,YciT,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12171
b1757,0.0652080531774191,ynjE,molybdopterin synthase sulfurtransferase,Cell wall/membrane/envelope biogenesis,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6952
b1587,0.0563795535132296,ynfE,putative selenate reductase YnfE,Energy production and conversion,"RpoD,RpoS,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6845
b2343,0.0544072533850506,yfcZ,DUF406 domain-containing protein YfcZ,Function unknown,"Fnr,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7214
b4582,0.0538487579905127,yoeA,CP4-44 prophage%3B TonB-dependent receptor plug domain-containing protein YoeA,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7075
b2727,0.0525016779516135,hypB,hydrogenase isoenzymes nickel incorporation protein HypB,Transcription,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10484
b2531,-0.0686861594113669,iscR,DNA-binding transcriptional dual regulator IscR,Transcription,"RpoD,ryhB,YidZ,IscR,fnrS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7326
b1445,-0.0817578278686486,ortT,orphan toxin OrtT,Function unknown,"Crp,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6756
