locus,gene_weight,gene_name,gene_product,cog,regulator,LldR,FruR,link
PA3562,0.3230665809,fruI,PTS system fructose-specific transporter subunit FruI,Carbohydrate transport and metabolism,"FruR,FruR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3562&e1=1&assembly=complete
PA3561,0.3130094317,fruK,1-phosphofructokinase,Coenzyme transport and metabolism,"FruR,FruR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3561&e1=1&assembly=complete
PA3560,0.3092622473,fruA,PTS system fructose-specific transporter subunit IIBC,Carbohydrate transport and metabolism,"FruR,FruR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3560&e1=1&assembly=complete
PA2323,0.2222175322,PA2323,glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2323&e1=1&assembly=complete
PA2290,0.1224947824,gcd,glucose dehydrogenase,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2290&e1=1&assembly=complete
PA2289,0.09411130940000001,PA2289,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2289&e1=1&assembly=complete
PA2264,0.0910775061,PA2264,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",PtxS,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2264&e1=1&assembly=complete
PA3559,0.087519812,PA3559,nucleotide sugar dehydrogenase,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3559&e1=1&assembly=complete
PA2265,0.0852423212,PA2265,gluconate dehydrogenase,Amino acid transport and metabolism,PtxS,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2265&e1=1&assembly=complete
PA4770,0.08342522050000001,lldP,L-lactate permease,Energy production and conversion,LldR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4770&e1=1&assembly=complete
PA4771,0.0786558711,lldD,L-lactate dehydrogenase,Energy production and conversion,LldR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4771&e1=1&assembly=complete
PA3189,-0.0841159788,PA3189,sugar ABC transporter permease,Carbohydrate transport and metabolism,GltR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3189&e1=1&assembly=complete
