locus,gene_weight,gene_name,gene_product,COG,operon,regulator,NarL,link
b2205,0.21627427230000001,napG,ferredoxin-type protein NapG,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12064
b2203,0.2022652882,napB,periplasmic nitrate reductase cytochrome c550 protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12061
b2206,0.1930068348,napA,periplasmic nitrate reductase subunit NapA,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12067
b2204,0.1877072797,napH,ferredoxin-type protein NapH,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarL,NarP,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12062
b3367,0.1792303114,nirC,nitrite transporter NirC,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10654
b1223,0.17389290500000001,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,narK,"RpoD,Fis,IHF,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1227,0.1624557007,narI,nitrate reductase A subunit gamma,Energy production and conversion,narGHJI,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10640
b3366,0.16136316750000002,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b3365,0.1540319329,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b1225,0.15257062500000002,narH,nitrate reductase A subunit beta,Energy production and conversion,narGHJI,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10639
b1226,0.1503924294,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone,Energy production and conversion,narGHJI,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10641
b1224,0.14072963100000002,narG,nitrate reductase A subunit alpha,Energy production and conversion,narGHJI,"RpoD,YcjW,RstA,Fis,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
b2208,0.1266749961,napF,ferredoxin-type protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b2202,0.1209804486,napC,periplasmic nitrate reductase cytochrome c protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12060
b2207,0.1074245904,napD,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b2111,0.1009771487,yehD,putative fimbrial protein YehD,Cell motility,yehDCBA,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11990
b2197,0.1009702475,ccmE,periplasmic heme chaperone,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12055
b4070,0.09958476570000001,nrfA,cytochrome c552 nitrite reductase,Energy production and conversion,nrfABCDEFG,"RpoD,FlhDC,ppGpp,IHF,NsrR,NarL,NarP,Fis,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11781
b2201,0.0906684214,ccmA,heme trafficking system ATP-binding protein,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12059
b4073,0.08860437630000001,nrfD,putative menaquinol-cytochrome c reductase subunit NrfD,Inorganic ion transport and metabolism,nrfABCDEFG,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11947
b4071,0.08805693170000001,nrfB,periplasmic nitrite reductase penta-heme c-type cytochrome,Energy production and conversion,nrfABCDEFG,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11945
b4072,0.0873780525,nrfC,putative menaquinol-cytochrome c reductase 4Fe-4S subunit,Energy production and conversion,nrfABCDEFG,"RpoD,FlhDC,IHF,NsrR,NarL,NarP,Fis,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11946
b0895,0.0849125538,dmsB,dimethyl sulfoxide reductase subunit B,Energy production and conversion,dmsABC,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10233
b0896,0.084509417,dmsC,dimethyl sulfoxide reductase subunit C,Function unknown,dmsABC,"RpoD,Fis,ModE,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10234
b2199,0.08392025,ccmC,heme trafficking system membrane protein CcmC,"Intracellular trafficking, secretion, and vesicular transport",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12057
b2195,0.08130774930000001,ccmG,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12053
b4506,0.07656869200000001,ykgO,putative ribosomal protein,"Translation, ribosomal structure and biogenesis",ykgMO,"RpoD,Zur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10434
b2196,0.0718036012,ccmF,holocytochrome c synthetase membrane subunit CcmF,"Post-translational modification, protein turnover,and chaperones",napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12054
b3476,-0.09952948900000001,nikA,Ni(2(+)) ABC transporter periplasmic binding protein,Amino acid transport and metabolism,nikABCDER,"RpoN,NarL,NikR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12075
