locus,gene_weight,gene_name,gene_product,cog,regulator,FliA,link
b1923,0.2786797004611117,fliC,flagellar filament structural protein,Cell motility,"GadE,H-NS,FliA,EcpR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10321
b1886,0.2630756880830394,tar,methyl-accepting chemotaxis protein Tar,Cell motility,"Fnr,FliA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10988
b1885,0.2394253690159917,tap,methyl-accepting chemotaxis protein Tap,Cell motility,"Fnr,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10987
b3525,0.2359194072149601,pdeH,c-di-GMP phosphodiesterase PdeH,Signal transduction mechanisms,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12252
b1887,0.2330112955297559,cheW,chemotaxis protein CheW,Cell motility,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10149
b1890,0.2306297308684155,motA,motility protein A,Cell motility,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10601
b1888,0.2300033764640117,cheA,chemotaxis protein CheA,Cell motility,"YciT,FliA,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10146
b1194,0.2235927523608701,ycgR,flagellar brake protein YcgR,Cell wall/membrane/envelope biogenesis,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6623
b1889,0.2216162566873863,motB,motility protein B,Cell motility,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10602
b1884,0.2061593090858693,cheR,chemotaxis protein methyltransferase,"Translation, ribosomal structure and biogenesis","Fnr,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10148
b4355,0.2057910031601845,tsr,methyl-accepting chemotaxis protein Tsr,Cell motility,"RpoD,YbiH,YddM,FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11034
b1882,0.1985880912446457,cheY,chemotaxis protein CheY,Transcription,"Fnr,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10150
