locus,gene_weight,gene_name,gene_product,cog,operon,regulator,old_locus_tag,synonyms,link
SACI_RS10375,0.24834201368800501,frmA,Succinate semialdehyde reductase (E9),Energy production and conversion,Op1287,,Saci_2145,,https://www.uniprot.org/uniprot/A0A0U2NAT8
SACI_RS10385,0.2477478093037855,asd2,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,Op1289,YtrA,Saci_2147,asd,https://www.uniprot.org/uniprot/A0A0U3FHI6
SACI_RS10380,0.24180201495055886,Saci_2146,4-Hydroxybutyrate-CoA synthetase (E10 alt),Coenzyme transport and metabolism,Op1288,,Saci_2146,,https://www.uniprot.org/uniprot/A0A0U3FXQ2
SACI_RS11460,0.15989375245483375,Saci_2370,Malonyl-CoA/succinyl-CoA reductase (E2),Amino acid transport and metabolism,Op1443,,Saci_2370,"asd, asd_2",https://www.uniprot.org/uniprot/A0A0U3FQ94
SACI_RS07755,0.15946312952429728,Saci_1624,cupin domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op891,,Saci_1624,,https://www.uniprot.org/uniprot/A0A0U3H0Q0
SACI_RS10370,0.13885872180864836,Saci_2144,"NAD(P)/FAD-dependent oxidoreductase, Ferredoxin--NADP reductase 2","Post-translational modification, protein turnover,and chaperones",Op1286,,Saci_2144,,https://www.uniprot.org/uniprot/A0A0U3FPT7
SACI_RS07750,0.12747625378778302,Saci_1623,Malonate semialdehyde reductase (E3),Lipid transport and metabolism,Op890,,Saci_1623,lcdH,https://www.uniprot.org/uniprot/A0A0U3HHE6
SACI_RS05645,0.12048148112112828,acsA_3,3-Hydroxypropionate:CoA ligase (E4),Lipid transport and metabolism,Op654,,Saci_1184,acs,https://www.uniprot.org/uniprot/A0A0U3FLD5
SACI_RS05560,0.11666694840209813,Saci_1167,CBS domain-containing protein,Function unknown,Op642,,Saci_1167,,https://www.uniprot.org/uniprot/A0A0U3FLF0
SACI_RS08640,0.10839575776635378,Saci_1804,DUF2173 family protein,Function unknown,Op1029,,Saci_1804,,https://www.uniprot.org/uniprot/A0A0U2NBH2
SACI_RS10365,0.10152492148933943,abfD_2,4-Hydroxybutyryl-CoA dehydratase (E11),"Secondary metabolites biosynthesis, transport, and catabolism",Op1285,,Saci_2143,,https://www.uniprot.org/uniprot/A0A0U2YAB2
SACI_RS01270,0.09861658517898968,Saci_0261,Acetyl-CoA/propionyl-CoA carboxylase subunit beta (E1 beta),Lipid transport and metabolism,Op144,,Saci_0261,,https://www.uniprot.org/uniprot/A0A0U3GUX2
SACI_RS04910,0.09680396762125454,Saci_1028,acetyl ornithine aminotransferase family protein,Amino acid transport and metabolism,Op541,,Saci_1028,argD,https://www.uniprot.org/uniprot/A0A0U3HA02
SACI_RS00195,0.09010274439826313,IMPDH_1,CBS domain-containing protein,Function unknown,Op23,YtrA,Saci_0044,,https://www.uniprot.org/uniprot/A0A0U3GVE4
SACI_RS03240,0.08695342052399395,Saci_0681,hypothetical protein,No COG annotation,Op364,,Saci_0681,,https://www.uniprot.org/uniprot/A0A0U3H9V2
SACI_RS01265,0.08440460665542769,cfiB,Acetyl-CoA/propionyl-CoA carboxylase subunit alpha (E1 alpha),Lipid transport and metabolism,Op144,,Saci_0260,pycA,https://www.uniprot.org/uniprot/A0A0U3H337
SACI_RS11740,-0.09450764989467958,SACI_RS11740,hypothetical protein,No COG annotation,Op1190,,,,https://www.uniprot.org/uniprot/UPI0002B261DE
