locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GalR,link
PN96_RS22445,0.1955593494976606,galE,UDP-glucose 4-epimerase GalE,Cell wall/membrane/envelope biogenesis,Op1964,GalR,True,
PN96_RS09135,0.1795879452854768,PN96_RS09135,carbohydrate ABC transporter permease,Inorganic ion transport and metabolism,Op2330,,False,
PN96_RS09145,0.1770392061103067,PN96_RS09145,ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,Op2331,,False,
PN96_RS09140,0.1769179495729081,PN96_RS09140,sugar ABC transporter permease,Inorganic ion transport and metabolism,Op2330,,False,
PN96_RS22440,0.1711083542625316,galT,UDP-glucose--hexose-1-phosphate uridylyltransferase,Coenzyme transport and metabolism,Op1964,"GalR,TfoX",True,
PN96_RS09130,0.1645243599972395,ugpC,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,Inorganic ion transport and metabolism,Op2330,,False,
PN96_RS22435,0.1565823940647086,galK,galactokinase,Nucleotide transport and metabolism,Op1964,GalR,True,
PN96_RS13435,0.1115568694934161,PN96_RS13435,hypothetical protein,No COG annotation,Op2845,TfoX,False,
PN96_RS22690,0.0962246328534096,PN96_RS22690,GlxA family transcriptional regulator,Transcription,Op2027,,False,
PN96_RS05590,0.0930997158716675,PN96_RS05590,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,Op1397,,False,
PN96_RS21015,0.0904699441555154,PN96_RS21015,outer membrane protein transport protein,Lipid transport and metabolism,Op1559,,False,
PN96_RS13430,0.0845238512837214,PN96_RS13430,LysR family transcriptional regulator,Transcription,Op2844,,False,
PN96_RS15720,0.0801751387974499,PN96_RS15720,ferredoxin--NADP reductase,Energy production and conversion,Op114,,False,
PN96_RS18580,0.0796821056616099,PN96_RS18580,LysR family transcriptional regulator,Transcription,Op911,,False,
PN96_RS21475,0.0786927767414031,PN96_RS21475,sigma-54-dependent Fis family transcriptional regulator,Transcription,Op1678,,False,
PN96_RS20280,0.0772686810537791,PN96_RS20280,cache domain-containing protein,Signal transduction mechanisms,Op1358,,False,
PN96_RS05575,0.0769861812295427,PN96_RS05575,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,Op1393,,False,
PN96_RS20290,0.0761699527685579,PN96_RS20290,LysR family transcriptional regulator,Transcription,Op1358,,False,
PN96_RS20285,0.0757341598615274,PN96_RS20285,response regulator transcription factor,Transcription,Op1358,,False,
PN96_RS18900,0.0751646215482497,PN96_RS18900,TRAP transporter substrate-binding protein,Carbohydrate transport and metabolism,Op996,,False,
PN96_RS15725,0.0728397199373033,PN96_RS15725,acyl-CoA thioesterase,Function unknown,Op115,,False,
PN96_RS05585,0.0715660402779444,PN96_RS05585,amino acid ABC transporter permease,Inorganic ion transport and metabolism,Op1393,,False,
PN96_RS05380,0.0709429876713266,PN96_RS05380,sigma-54-dependent Fis family transcriptional regulator,Transcription,Op1327,,False,
PN96_RS17910,0.0699387347117687,hxpB,hexitol phosphatase HxpB,Function unknown,Op719,,False,
PN96_RS17920,0.0689416831849951,PN96_RS17920,beta-glucoside-specific PTS transporter subunit IIABC,Carbohydrate transport and metabolism,Op721,,False,
PN96_RS22520,0.067754150070438,PN96_RS22520,TRAP transporter small permease,"Secondary metabolites biosynthesis, transport, and catabolism",Op1982,,False,
PN96_RS23260,-0.0753332996913174,alr,alanine racemase,Cell wall/membrane/envelope biogenesis,Op2190,,False,
PN96_RS17865,-0.0802770345532677,hutH,histidine ammonia-lyase,Amino acid transport and metabolism,Op708,,False,
