locus,gene_weight,gene_name,gene_product,cog,regulator,PurR,link
SP5448_00210,0.2183451572,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,Nucleotide transport and metabolism,"PurR,Mga,Rgg,LacD.1_M14,CovR,CovR,Nra_exponetional_M49,Nra_stationary_M49,Irr_EE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.20%22)
SP5448_00230,0.2045922011,purN,phosphoribosylglycinamide formyltransferase,Nucleotide transport and metabolism,"PurR,Rgg,CovR,Nra_exponetional_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.24%22)
SP5448_00220,0.20347243550000002,purF,amidophosphoribosyltransferase,Nucleotide transport and metabolism,"PurR,CovR,CovR,Nra_stationary_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.22%22)
SP5448_00215,0.1917950052,purL,phosphoribosylformylglycinamidine synthase,Nucleotide transport and metabolism,"PurR,CovR,Nra_transition_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.21%22)
SP5448_06175,0.1886546363,XK27_00340,5'-nucleotidase,Nucleotide transport and metabolism,"CcpA,CcpA_core_M1,CovR,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1182%22)
SP5448_00235,0.1821940609,purH,IMP cyclohydrolase,Nucleotide transport and metabolism,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.25%22)
SP5448_00225,0.1776368258,purM,phosphoribosylaminoimidazole synthetase,Nucleotide transport and metabolism,"PurR,Nra_transition_M49,Nra_stationary_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.23%22)
SP5448_00250,0.1754156986,purE,phosphoribosyl carboxyaminoimidazole mutase,Nucleotide transport and metabolism,"PurR,Mga,CovR,CovR,Nra_transition_M49,Nra_stationary_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.28%22)
SP5448_02150,0.1589208335,pbuO,guanine permease,Function unknown,"PurR,CcpA_core_M1,CovR,Mga,Rgg,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.390%22)
SP5448_05305,0.1582899179,pbuX,xanthine permease,Nucleotide transport and metabolism,"Purine,CcpA_core_M1,CovR,Mga,Rgg,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1008%22)
SP5448_00245,0.1559904266,purD,phosphoribosylamine--glycine ligase,Nucleotide transport and metabolism,"PurR,Rgg,CovR,CovR,Nra_transition_M49,Nra_stationary_M49,Irr_EE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.27%22)
SP5448_05310,0.1530260192,xpt,xanthine phosphoribosyltransferase,Nucleotide transport and metabolism,"Purine,CcpA_core_M1,CovR,Mga,Rgg,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1009%22)
SP5448_00255,0.1312051559,purK,phosphoribosylaminoimidazole carboxylase,Nucleotide transport and metabolism,"PurR,CovR,CovR,Nra_stationary_M49,Irr_EE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.29%22)
SP5448_03925,0.1233914905,oxlT,MFS transporter,Inorganic ion transport and metabolism,"Mga,Rgg,LacD.1_M14",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.734%22)
SP5448_07805,0.0945621111,lctO,lactate oxidase,Energy production and conversion,"CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1508%22)
SP5448_00260,0.0898892536,SP5448_00260,abortive infection protein,Function unknown,"CovR,Nra_exponetional_M49,Srv_M1,Irr_LE_M6",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.30%22)
SP5448_01050,0.0819217396,SP5448_01050,hypothetical protein,Function unknown,BirA,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.176%22)
