locus,gene_weight,gene_name,gene_product,cog,regulator,FlhDC,link
b1073,0.3085190034862395,flgB,flagellar basal-body rod protein FlgB,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G358
b1074,0.2854738162205987,flgC,flagellar basal-body rod protein FlgC,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G359
b1075,0.2691394325993735,flgD,flagellar biosynthesis%2C initiation of hook assembly,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G360
b1922,0.2554599034576906,fliA,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,"RpoD,YdcN,H-NS,FliA,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1076,0.2532523419118884,flgE,flagellar hook protein FlgE,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G361
b1077,0.2259878312634632,flgF,flagellar basal-body rod protein FlgF,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G362
b1944,0.2118859272635815,fliL,flagellar protein FliL,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10322
b1938,0.199777456560159,fliF,flagellar basal-body MS-ring and collar protein,Cell motility,"RpoD,FliA,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11347
b1078,0.19838299906996,flgG,flagellar basal-body rod protein FlgG,Cell motility,"RpoD,YciT,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G363
b1945,0.1745190266712291,fliM,flagellar motor switch protein FliM,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10323
b1946,0.1665839700920771,fliN,flagellar motor switch protein FliN,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10324
b1079,0.1635041217747243,flgH,flagellar L-ring protein,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G364
b1939,0.1585188278172171,fliG,flagellar motor switch protein FliG,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11654
b1940,0.1470295036560093,fliH,flagellar biosynthesis protein FliH,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11656
b1080,0.1437816847671326,flgI,flagellar P-ring protein,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G365
b1072,0.1433554190872712,flgA,flagellar basal body P-ring formation protein FlgA,Cell motility,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G357
b1937,0.1352800926070225,fliE,flagellar basal-body protein FliE,Cell motility,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b1921,0.1315465929127687,fliZ,DNA-binding transcriptional regulator FliZ,Transcription,"RpoD,YidZ,H-NS,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11356
b1081,0.1257020945591248,flgJ,putative peptidoglycan hydrolase FlgJ,Cell wall/membrane/envelope biogenesis,"RpoD,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G366
b1947,0.1212214658688255,fliO,flagellar biosynthesis protein FliO,Cell motility,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11224
