locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GclR,link
PP_4288,0.1471972385910903,allA,ureidoglycolate lyase,Nucleotide transport and metabolism,Op2778,"RutR-I,TurA,GclR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4288&e1=1&assembly=complete
PP_4286,0.1411304915224646,puuE,allantoinase,Carbohydrate transport and metabolism,Op2778,"RutR-I,TurA,GclR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4286&e1=1&assembly=complete
PP_0596,0.1386680099973272,PP_0596,Omega-amino acid--pyruvate aminotransferase,Coenzyme transport and metabolism,Op382,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0596&e1=1&assembly=complete
PP_4287,0.1339698813662735,pucL,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,Function unknown,Op2778,"RutR-I,TurA,GclR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4287&e1=1&assembly=complete
PP_0597,0.1138305041886286,mmsA-I,methylmalonate-semialdehyde dehydrogenase,Energy production and conversion,Op382,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0597&e1=1&assembly=complete
PP_4310,0.1096673941192605,PP_4310,putative Hydantoin racemase,Amino acid transport and metabolism,Op2793,GclR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4310&e1=1&assembly=complete
PP_4309,0.1073529693172404,PP_4309,Transporter%2C NCS1 nucleoside transporter family,Nucleotide transport and metabolism,Op2793,"GclR,CbrB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4309&e1=1&assembly=complete
PP_4643,0.1070469039767399,PP_4643,Xanthine/uracil permease family protein,Nucleotide transport and metabolism,Op3027,"GclR,CbrB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4643&e1=1&assembly=complete
PP_0490,0.1066306050260246,fdoH,formate dehydrogenase-O%2C beta subunit,Energy production and conversion,Op317,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0490&e1=1&assembly=complete
PP_4291,0.1057374733528677,PP_4291,conserved exported protein of unknown function,Cell wall/membrane/envelope biogenesis,Op2781,"RutR-I,GclR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4291&e1=1&assembly=complete
PP_4285,0.1054922622035071,pucM,5-hydroxyisourate hydrolase,Function unknown,Op2777,GclR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4285&e1=1&assembly=complete
PP_4297,0.1054202557415719,gcl,glyoxylate carboligase,Function unknown,Op2786,GclR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4297&e1=1&assembly=complete
PP_4289,0.1003517312760997,PP_4289,conserved membrane protein of unknown function,Energy production and conversion,Op2779,"RutR-I,GclR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4289&e1=1&assembly=complete
PP_1073,0.0894224959175437,glpD,glycerol-3-phosphate dehydrogenase (aerobic),Energy production and conversion,Op671,"GlpR,GlnG,Crc",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1073&e1=1&assembly=complete
