locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,NagQ,GbuR,link
PA3758,0.257628462,PA3758,,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3758&e1=1&assembly=complete
PA3759,0.250198344,PA3759,,aminotransferase,Cell wall/membrane/envelope biogenesis,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3759&e1=1&assembly=complete
PA3760,0.24398965500000003,PA3760,,N-acetyl-D-glucosamine phosphotransferase system transporter,Carbohydrate transport and metabolism,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3760&e1=1&assembly=complete
PA3757,0.24019553400000002,PA3757,,transcriptional regulator,Transcription,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3757&e1=1&assembly=complete
PA4980,0.23825254,PA4980,,enoyl-CoA hydratase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4980&e1=1&assembly=complete
PA3761,0.23080207200000002,PA3761,,N-acetyl-D-glucosamine phosphotransferase system transporter,Carbohydrate transport and metabolism,NagQ,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3761&e1=1&assembly=complete
PA4979,0.213958802,PA4979,,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4979&e1=1&assembly=complete
PA4978,0.208448831,PA4978,,hypothetical protein,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4978&e1=1&assembly=complete
PA4977,0.16222229900000001,aruI,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4977&e1=1&assembly=complete
PA4976,0.14758153400000001,aruH,,arginine:pyruvate transaminase AruH,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4976&e1=1&assembly=complete
PA4981,0.136213378,PA4981,,amino acid permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4981&e1=1&assembly=complete
PA4975,0.10816091700000001,PA4975,,NAD(P)H quinone oxidoreductase,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4975&e1=1&assembly=complete
PA1421,0.083896947,gbuA,,guanidinobutyrase,Amino acid transport and metabolism,GbuR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1421&e1=1&assembly=complete
PA4983,0.07246741500000001,PA4983,,two-component response regulator,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4983&e1=1&assembly=complete
PA1418,0.072397667,PA1418,,sodium:solute symport protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1418&e1=1&assembly=complete
PA4982,0.07228105400000001,PA4982,,two-component sensor,Signal transduction mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4982&e1=1&assembly=complete
PA2252,0.06904760900000001,PA2252,,AGCS sodium/alanine/glycine symporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2252&e1=1&assembly=complete
