locus,gene_weight,gene_name,gene_product,cog,regulator,cdaR,link
STM3249,0.28978348730000003,garL,2-dehydro-3-deoxy-galactarate Aldolase,Coenzyme transport and metabolism,"cdaR,crp,fnr,fur,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3249
STM2962,0.2835846635,gudT,putative MFS superfamily D-glucarate permease,Carbohydrate transport and metabolism,"cdaR,nac",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2962
STM2961,0.2579363549,ygcY,putative d-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,"cdaR,nac",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2961
STM3247,0.2531393769,garK,glycerate kinase,Carbohydrate transport and metabolism,"cdaR,crp,fnr,fur,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3247
STM3248,0.24602529450000002,garR,tartronate semialdehyde reductase (TSAR),Lipid transport and metabolism,"cdaR,crp,fnr,fur,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3248
STM2960,0.2419418775,gudD,d-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,"cdaR,nac",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2960
STM3250,0.22549764320000001,garD,galactarate dehydrogenase,Carbohydrate transport and metabolism,"cdaR,fnr",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3250
STM0210,0.1308756913,cdaR,putative inner membrane protein,Transcription,"cdaR,nac",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0210
STM2959,0.1238016921,STM2959,putative glycerate kinase 2,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2959
STM3697,0.0890289519,STM3697,putative mandelate racemase,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3697
