locus,gene_weight,gene_name,gene_product,cog,regulator,leu-tRNA,link
STM0110,0.189868733,leuD,3-isopropylmalate isomerase (dehydratase)%2C subunit with LeuC,Amino acid transport and metabolism,"arcA,leu-tRNA,leuO,lrp,nac,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0110
STM3795,0.1868163682,ilvN,acetolactate synthase I%2C small subunit,Amino acid transport and metabolism,"crp,leu-tRNA,lrp,rpoD,val-tRNA,yeiE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3795
STM0111,0.1848574267,leuC,3-isopropylmalate isomerase (dehydratase)%2C subunit with LeuD,Amino acid transport and metabolism,"arcA,leu-tRNA,leuO,lrp,nac,rpoD,yeiE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0111
STM0112,0.18043185420000002,leuB,3-isopropylmalate dehydrogenase,Energy production and conversion,"arcA,leu-tRNA,leuO,lrp,nac,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0112
STM3902,0.1752089055,ilvM,acetolactate synthase II%2C small subunit,Function unknown,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3902
STM3796,0.17084782110000002,ilvB,acetolactate synthase I%2C large subunit,Coenzyme transport and metabolism,"crp,leu-tRNA,lrp,rpoD,val-tRNA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3796
STM0113,0.1702438771,leuA,2-isopropylmalate synthase,Amino acid transport and metabolism,"arcA,leu-tRNA,leuO,lrp,nac,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0113
STM0002,0.1617064544,thrA,aspartokinase I,Amino acid transport and metabolism,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0002
STM3901,0.1475050285,ilvG,acetolactate synthase II%2C large subunit,Coenzyme transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3901
STM3903,0.1272241225,ilvE,branched-chain amino-acid aminotransferase,Amino acid transport and metabolism,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3903
STM3904,0.1232504585,ilvD,dihydroxyacid dehydratase,Amino acid transport and metabolism,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3904
STM3905,0.11327554100000001,ilvA,threonine deaminase,Amino acid transport and metabolism,"ihf,ile-tRNA,leu-tRNA,lrp,rpoD,val-tRNA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3905
STM3909,0.1079878197,ilvC,ketol-acid reductoisomerase,Nucleotide transport and metabolism,"ilvY,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3909
STM0003,0.1029160773,thrB,homoserine kinase,Nucleotide transport and metabolism,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0003
STM0004,0.098160125,thrC,threonine synthase,Amino acid transport and metabolism,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0004
STM3877,0.0841617873,asnA,asparagine synthetase A,Nucleotide transport and metabolism,"asnC,nac,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3877
