locus,gene_weight,gene_name,gene_product,cog,regulator,Cra,link
b2169,0.5017775848133074,fruB,fructose-specific PTS multiphosphoryl transfer protein FruB,Carbohydrate transport and metabolism,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7990
b2168,0.4312787329640538,fruK,1-phosphofructokinase,Nucleotide transport and metabolism,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10337
b2167,0.4010018839323624,fruA,fructose-specific PTS multiphosphoryl transfer protein FruA,Carbohydrate transport and metabolism,"RpoD,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10336
b2927,0.1168966991789545,epd,D-erythrose-4-phosphate dehydrogenase,Coenzyme transport and metabolism,"RpoD,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10368
b1241,0.1000052807992203,adhE,aldehyde-alcohol dehydrogenase,Energy production and conversion,"RpoD,YdhB,RpoS,gcvB,Fnr,NarL,Lrp,Cra,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10031
b2166,0.0995337066089949,psuK,putative pseudouridine kinase,Carbohydrate transport and metabolism,Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11646
b2165,0.0931407790601468,psuG,pseudouridine-5'-phosphate glycosidase,"Secondary metabolites biosynthesis, transport, and catabolism",Crp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12033
b3612,0.0927463037977434,gpmM,2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase,Nucleotide transport and metabolism,"RpoS,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12296
b2926,0.0672086536746335,pgk,phosphoglycerate kinase,Nucleotide transport and metabolism,"RpoD,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10703
b2925,0.0639719817203337,fbaA,fructose-bisphosphate aldolase class II,Nucleotide transport and metabolism,"RpoD,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10282
b3365,0.063049549763753,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b3916,0.0550337627917071,pfkA,6-phosphofructokinase I,Nucleotide transport and metabolism,"RpoD,RpoS,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10699
b2388,0.0536288070479207,glk,glucokinase,Nucleotide transport and metabolism,"RpoD,RpoS,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12957
b1779,0.0534000676714594,gapA,glyceraldehyde-3-phosphate dehydrogenase A,Nucleotide transport and metabolism,"RpoD,RpoH,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10367
b4232,-0.0656971666922724,fbp,fructose-1%2C6-bisphosphatase 1,Carbohydrate transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10283
b1702,-0.1926959204804883,ppsA,phosphoenolpyruvate synthetase,Carbohydrate transport and metabolism,"RpoD,Cra,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10759
b0080,-0.238681055339145,cra,DNA-binding transcriptional dual regulator Cra,Transcription,"PhoB,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10338
