locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ExuR,FucR,link
b2800,0.32057740630000003,fucA,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,fucAO,"RpoD,Crp,FucR,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10348
b2801,0.2979925356,fucP,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10352
b2802,0.2905422212,fucI,L-fucose isomerase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10349
b2799,0.25612359360000003,fucO,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,fucAO,"RpoD,YdcN,Crp,FucR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10351
b2803,0.2205122863,fucK,L-fuculokinase,Nucleotide transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,spf",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10350
b1521,0.19651659400000002,uxaB,tagaturonate reductase,Carbohydrate transport and metabolism,uxaB,"RpoD,YdcN,YciT,YqhC,YdhB,YebK,YdiP,YbcM,ExuR,Crp",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11065
b3092,0.1947147425,uxaC,D-glucoronate/D-galacturonate isomerase,Carbohydrate transport and metabolism,uxaCA,"RpoD,YdcN,YqhC,YdhB,YbcM,YebK,YedW,ExuR,Crp,Fnr,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G81
b3091,0.1865486784,uxaA,D-altronate dehydratase,Carbohydrate transport and metabolism,uxaCA,"RpoD,ExuR,Crp,Fnr",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12734
b2804,0.1691198364,fucU,L-fucose mutarotase,Carbohydrate transport and metabolism,fucPIKUR,"RpoD,FucR,Crp,ppGpp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10355
b2172,0.1306678701,yeiQ,putative dehydrogenase%2C NAD-dependent,Carbohydrate transport and metabolism,yeiQ,"YfeC,YqhC,ArcA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12036
b3093,0.1230500293,exuT,hexuronate transporter,Inorganic ion transport and metabolism,exuT,"YqhC,ExuR,Crp,DpiA,Nac",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12738
b1352,0.10063826320000001,kilR,Rac prophage%3B inhibitor of FtsZ%2C killing protein,Function unknown,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12155
b0268,0.0789249988,yagE,CP4-6 prophage%3B putative 2-keto-3-deoxygluconate aldolase,Amino acid transport and metabolism,yagEF,XynR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6140
b3011,0.0782487641,yqhD,NADPH-dependent aldehyde reductase YqhD,Energy production and conversion,yqhD-dkgA,"RpoD,YqhC",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7564
b0269,0.07209412130000001,yagF,CP4-6 prophage%3B D-xylonate dehydratase,Amino acid transport and metabolism,yagEF,XynR,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6141
