locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GbdR,link
PP_0310,0.1364797154557934,dgcA,putative dimethylglycine dehydrogenase subunit,Energy production and conversion,Op216,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0310&e1=1&assembly=complete
PP_0309,0.1332859182998315,PP_0309,conserved protein of unknown function,Function unknown,Op216,GbdR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0309&e1=1&assembly=complete
PP_0328,0.1213849480258822,fdhA,formaldehyde dehydrogenase,Energy production and conversion,Op226,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0328&e1=1&assembly=complete
PP_0315,0.1191170234912405,gbcA,putative glycine-betaine dioxygenase subunit,Inorganic ion transport and metabolism,Op219,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0315&e1=1&assembly=complete
PP_4619,0.1171525299168035,hmgC,Maleylacetoacetate isomerase,Carbohydrate transport and metabolism,Op3008,HmgR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4619&e1=1&assembly=complete
PP_0324,0.1162356562556717,soxD,sarcosine oxidase subunit delta,Amino acid transport and metabolism,Op225,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0324&e1=1&assembly=complete
PP_0311,0.1157868794386011,dgcB,putative dimethylglycine dehydrogenase subunit,Energy production and conversion,Op217,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0311&e1=1&assembly=complete
PP_0312,0.1151555986323461,PP_0312,electron transfer flavoprotein%2C alpha subunit,Energy production and conversion,Op217,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0312&e1=1&assembly=complete
PP_0313,0.1129203405703674,PP_0313,putative electron transfer flavoprotein beta subunit,Energy production and conversion,Op217,"AlgR,GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0313&e1=1&assembly=complete
PP_0308,0.1080699672111078,PP_0308,putative dipeptidase,Amino acid transport and metabolism,Op215,"GbdR,RoxR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0308&e1=1&assembly=complete
