,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_6001,ABUW_6001,1,1182,+,replication protein,No COG annotation,,,CP008709.1,AKA33693.1,ABUW_RS19635,NZ_CP008709.1,
ABUW_6002,ABUW_6002,1185,1388,+,hypothetical protein,No COG annotation,,,CP008709.1,AKA33694.1,,,
ABUW_6003,ABUW_6003,1642,1893,+,hypothetical protein,No COG annotation,,,CP008709.1,AKA33695.1,ABUW_RS19645,NZ_CP008709.1,
ABUW_5001,repAci1,1,951,+,DNA replication protein,"Replication, recombination and repair",,,CP008708.1,AKA33680.1,ABUW_RS19590,NZ_CP008708.1,
ABUW_5002,ABUW_5002,944,1519,+,DNA replication protein,No COG annotation,,AbaM,CP008708.1,AKA33681.1,ABUW_RS19595,NZ_CP008708.1,
ABUW_5003,ABUW_5003,1539,1682,+,hypothetical protein,No COG annotation,,,CP008708.1,AKA33682.1,ABUW_RS20490,NZ_CP008708.1,
ABUW_5004,ABUW_5004,1871,2413,-,Sel1 repeat family,Function unknown,,,CP008708.1,AKA33683.1,ABUW_RS19600,NZ_CP008708.1,
ABUW_5005,ABUW_5005,2586,2732,-,hypothetical protein,No COG annotation,,,CP008708.1,AKA33684.1,,,
ABUW_5006,ABUW_5006,2753,3049,+,hypothetical protein,Function unknown,,,CP008708.1,AKA33685.1,ABUW_RS19605,NZ_CP008708.1,
ABUW_5007,ABUW_5007,3036,3350,+,hypothetical protein,Function unknown,,,CP008708.1,AKA33686.1,ABUW_RS19610,NZ_CP008708.1,
ABUW_5008,ABUW_5008,3478,5889,+,TonB-dependent receptor protein,Inorganic ion transport and metabolism,,,CP008708.1,AKA33687.1,ABUW_RS19615,NZ_CP008708.1,
ABUW_5010,ABUW_5010,6194,6655,+,hypothetical protein,No COG annotation,,,CP008708.1,AKA33688.1,ABUW_RS19620,NZ_CP008708.1,
ABUW_5011,ABUW_5011,6978,7151,-,hypothetical protein,No COG annotation,,,CP008708.1,AKA33689.1,ABUW_RS20495,NZ_CP008708.1,
ABUW_5012,ABUW_5012,7151,7522,-,hypothetical protein,No COG annotation,,,CP008708.1,AKA33690.1,ABUW_RS19625,NZ_CP008708.1,
ABUW_5013,ABUW_5013,7794,8048,-,hypothetical protein,No COG annotation,,,CP008708.1,AKA33691.1,,,
ABUW_5014,ABUW_5014,8170,8508,-,hypothetical protein,No COG annotation,,,CP008708.1,AKA33692.1,,,
ABUW_0001,dnaA,95,1492,+,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",,,CP008706.1,AKA29801.1,ABUW_RS00005,NZ_CP008706.1,Op0
ABUW_0002,dnaN,1590,2738,+,DNA polymerase III%2C beta subunit,"Replication, recombination and repair",,,CP008706.1,AKA29802.1,ABUW_RS00010,NZ_CP008706.1,Op1
ABUW_0003,recF,2753,3835,+,DNA replication%2C recombination and repair protein,"Replication, recombination and repair",,,CP008706.1,AKA29803.1,ABUW_RS00015,NZ_CP008706.1,Op1
ABUW_0004,gyrB,3888,6356,+,DNA gyrase%2C B subunit,"Replication, recombination and repair",,,CP008706.1,AKA29804.1,ABUW_RS00020,NZ_CP008706.1,Op2
ABUW_0005,ABUW_0005,6394,6786,+,cytochrome b562,Energy production and conversion,,,CP008706.1,AKA29805.1,ABUW_RS00025,NZ_CP008706.1,Op2
