locus,gene_weight,gene_name,gene_product,cog,regulator,CcpA,link
SP5448_03215,0.3454048563,XK27_04650,acetyltransferase,Transcription,"CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg,LacD.1_M14,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.593%22)
SP5448_03220,0.3384068029,argF,ornithine carbamoyltransferase,Amino acid transport and metabolism,"CcpA,CcpA_core_M1,CovR,Rgg,Rgg,LacD.1_M14,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.594%22)
SP5448_03225,0.32139612900000003,arcD,arginine:ornithine antiporter,Function unknown,"CcpA_core_M1,CovR,Rgg,Rgg,LacD.1_M14,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.595%22)
SP5448_03210,0.3160991175,arcA,arginine deiminase,Amino acid transport and metabolism,"CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg,LacD.1_M14,CovR,CovR,CovR,CovR,Nra_stationary_M49,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.592%22)
SP5448_03230,0.3128333934,ytjP,hypothetical protein,Amino acid transport and metabolism,"CcpA_core_M1,CovR,Rgg,Rgg,LacD.1_M14,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.596%22)
SP5448_03235,0.3043650424,arcC,carbamate kinase,Amino acid transport and metabolism,"CcpA_core_M1,CovR,Rgg,Rgg,LacD.1_M14,FasX_60min_M1,CovR,Nra_exponetional_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.597%22)
SP5448_00300,0.1439496811,adhE,acetaldehyde dehydrogenase,Energy production and conversion,"CcpA_core_M1,CovR,FasX_0min_M1,FasX_15min_M1,CovR,CovR,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.38%22)
SP5448_02560,0.1108142376,rpiB_1,galactose-6-phosphate isomerase,Carbohydrate transport and metabolism,"CcpA_core_M1,CovR,Mga",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.470%22)
SP5448_02565,0.10528241340000001,lacC_1,tagatose-6-phosphate kinase,Coenzyme transport and metabolism,,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.471%22)
SP5448_02570,0.098569691,lacD_1,tagatose-bisphosphate aldolase,Carbohydrate transport and metabolism,"CcpA_core_M1,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.472%22)
SP5448_02555,0.09371475200000001,lacA_1,galactose-6-phosphate isomerase,Carbohydrate transport and metabolism,"CcpA_core_M1,CovR,Rgg,RivR_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.469%22)
SP5448_01675,0.0823575285,yhhS,multidrug MFS transporter,Function unknown,"CcpA_core_M1,Rgg,Rgg,RivR_M1,MalR_M1,Nra_transition_M49,Srv_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.294%22)
SP5448_07805,0.07852192620000001,lctO,lactate oxidase,Energy production and conversion,"CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1508%22)
SP5448_02530,0.0730499119,copZ,carbonate dehydratase,Energy production and conversion,"CopR,Rgg,Nra_transition_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.464%22)
SP5448_02550,0.07015880690000001,gatC_2,PTS galactitol transporter subunit IIC,Carbohydrate transport and metabolism,"CcpA,CcpA_core_M1,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.468%22)
