locus,gene_weight,gene_name,gene_product,cog,regulator,PSPTO_5267,link
PSPTO_2635,0.2310203771,PSPTO_2635,metal ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,
PSPTO_RS12775,0.2307249943,PSPTO_RS12775,DUF4198 domain-containing protein,Inorganic ion transport and metabolism,,False,
PSPTO_2463,0.1862875307,PSPTO_2463,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,,False,
PSPTO_5526,0.1856268687,PSPTO_5526,GTP-binding protein,Function unknown,PSPTO_5267,True,
PSPTO_5561,0.1705216544,PSPTO_5561,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,
PSPTO_2634,0.16737221400000002,PSPTO_2634,metal ABC transporter permease,Inorganic ion transport and metabolism,,False,
PSPTO_2579,0.1651844597,PSPTO_2579,carbonate dehydratase,Function unknown,PSPTO_5267,True,
PSPTO_5525,0.1572602934,PSPTO_5525,DUF1826 domain-containing protein,Function unknown,PSPTO_5267,True,
PSPTO_2578,0.1449134496,PSPTO_2578,GTP cyclohydrolase I FolE2,Nucleotide transport and metabolism,PSPTO_5267,True,
PSPTO_5560,0.1406723645,PSPTO_5560,TonB-dependent siderophore receptor,Inorganic ion transport and metabolism,,False,
PSPTO_2633,0.1287905097,PSPTO_2633,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,
PSPTO_RS13620,0.12232456700000001,PSPTO_RS13620,hypothetical protein,No COG annotation,,False,
PSPTO_4183,0.11787323840000001,rpmE-1,type B 50S ribosomal protein L31,"Translation, ribosomal structure and biogenesis",,False,
PSPTO_2580,0.10035490200000001,PSPTO_2580,DUF1624 domain-containing protein,Function unknown,PSPTO_5267,True,
PSPTO_0681,0.0934257513,PSPTO_0681,ABC transporter permease,Defense mechanisms,,False,
PSPTO_0683,0.0932009007,PSPTO_0683,DUF2796 domain-containing protein,Inorganic ion transport and metabolism,PSPTO_5267,True,
PSPTO_0682,0.08724049410000001,PSPTO_0682,ABC transporter ATP-binding protein,Defense mechanisms,,False,
PSPTO_5563,0.0837163472,PSPTO_5563,iron ABC transporter permease,Inorganic ion transport and metabolism,,False,
PSPTO_RS11325,0.065699584,PSPTO_RS11325,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_RS01215,0.0627492051,PSPTO_RS01215,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_5527,0.0607562499,PSPTO_5527,hypothetical protein,Cell wall/membrane/envelope biogenesis,PSPTO_5267,True,
PSPTO_RS01305,0.0601112774,PSPTO_RS01305,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_RS15425,0.0577452974,PSPTO_RS15425,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_4182,0.0573515979,ddlA,D-alanine--D-alanine ligase,Nucleotide transport and metabolism,,False,
PSPTO_5265,0.056220350100000004,znuB,zinc ABC transporter permease subunit ZnuB,Inorganic ion transport and metabolism,PSPTO_5267,True,
PSPTO_0680,0.0550850881,PSPTO_0680,DUF3299 domain-containing protein,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_5562,0.053633796500000004,PSPTO_5562,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,,False,
PSPTO_RS13360,0.051788353700000005,glnT,type III glutamate--ammonia ligase,Amino acid transport and metabolism,,False,
PSPTO_RS21610,0.0517713137,PSPTO_RS21610,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_1824,0.0487502832,PSPTO_1824,DUF2790 domain-containing protein,Function unknown,,False,
PSPTO_4171,-0.0547650135,aatJ,glutamate/aspartate ABC transporter substrate-binding protein,Amino acid transport and metabolism,,False,
PSPTO_RS02630,-0.0571913314,PSPTO_RS02630,transposase,"Replication, recombination and repair",,False,
PSPTO_RS28925,-0.060249258400000005,PSPTO_RS28925,lipid-A-disaccharide synthase N-terminal domain-containing protein,Function unknown,,False,
PSPTO_1447,-0.0635393394,PSPTO_1447,hypothetical protein,Function unknown,,False,
PSPTO_RS24375,-0.06407744800000001,PSPTO_RS24375,IS5/IS1182 family transposase,"Replication, recombination and repair",,False,
PSPTO_5279,-0.0708795463,cadA-1,heavy metal translocating P-type ATPase,Inorganic ion transport and metabolism,CadR,False,
PSPTO_RS18225,-0.0728837477,PSPTO_RS18225,hypothetical protein,No COG annotation,,False,
