locus,gene_weight,gene_name,gene_product,cog,regulator,PSPTO_3698,link
PSPTO_3660,0.2285867479,xdhA,xanthine dehydrogenase small subunit,Energy production and conversion,PSPTO_3698,True,
PSPTO_3661,0.16215142770000002,xdhB,xanthine dehydrogenase molybdopterin binding subunit,Energy production and conversion,PSPTO_3698,True,
PSPTO_3662,0.1016861832,xdhC,xanthine dehydrogenase accessory protein XdhC,"Post-translational modification, protein turnover,and chaperones",PSPTO_3698,True,
PSPTO_1824,-0.0817561955,PSPTO_1824,DUF2790 domain-containing protein,Function unknown,,False,
PSPTO_4024,-0.0887594486,fnr-1,ferredoxin--NADP reductase,Energy production and conversion,,False,
PSPTO_RS14105,-0.09813492480000001,PSPTO_RS14105,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_2729,-0.1084802197,PSPTO_2729,DUF934 domain-containing protein,Function unknown,,False,
PSPTO_2730,-0.11094766260000001,cysI,nitrite/sulfite reductase,Energy production and conversion,,False,
PSPTO_3237,-0.12322065880000001,PSPTO_3237,methyl-accepting chemotaxis protein,Cell motility,,False,
PSPTO_2516,-0.1333693322,moaA,GTP 3'%2C8-cyclase MoaA,Coenzyme transport and metabolism,,False,
PSPTO_5407,-0.1973442397,PSPTO_5407,FdhF/YdeP family oxidoreductase,Energy production and conversion,,False,
PSPTO_5406,-0.2138072623,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,Energy production and conversion,,False,
