locus,gene_weight,gene_name,gene_product,cog,regulator,PsrA,link
PSPTO_0500,0.2081005461,PSPTO_0500,acyl-CoA dehydrogenase C-terminal domain-containing protein,Energy production and conversion,PsrA,True,
PSPTO_3517,0.1224313487,fadB,fatty acid oxidation complex subunit alpha FadB,Lipid transport and metabolism,PsrA,True,
PSPTO_RS11695,0.12106239140000001,PSPTO_RS11695,thioesterase family protein,Lipid transport and metabolism,,False,
PSPTO_0506,0.1204161096,PSPTO_0506,acyl-CoA dehydrogenase C-terminal domain-containing protein,Energy production and conversion,,False,
PSPTO_2217,0.1134264054,PSPTO_2217,alpha/beta hydrolase,Lipid transport and metabolism,,False,
PSPTO_2726,0.11110353340000001,PSPTO_2726,histidine phosphatase family protein,Carbohydrate transport and metabolism,PsrA,True,
PSPTO_1330,0.1055196035,PSPTO_1330,glycosyltransferase,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_0312,0.1051597603,PSPTO_0312,DUF962 domain-containing protein,Function unknown,,False,
PSPTO_2184,0.0979008463,PSPTO_2184,electron transfer flavoprotein-ubiquinone oxidoreductase,Energy production and conversion,,False,
PSPTO_2725,0.0968527212,PSPTO_2725,SCP2 sterol-binding domain-containing protein,Lipid transport and metabolism,PsrA,True,
PSPTO_2218,0.092813908,PSPTO_2218,alpha/beta hydrolase,Function unknown,,False,
PSPTO_3660,0.0833468977,xdhA,xanthine dehydrogenase small subunit,Energy production and conversion,PSPTO_3698,False,
PSPTO_3516,0.0818413026,fadA,acetyl-CoA C-acyltransferase FadA,Lipid transport and metabolism,PsrA,True,
PSPTO_3508,0.0802977651,psrA,TetR family transcriptional regulator,Transcription,PsrA,True,
PSPTO_1331,0.0798326314,PSPTO_1331,CatB-related O-acetyltransferase,Function unknown,,False,
PSPTO_4302,0.07859454,PSPTO_4302,TetR family transcriptional regulator,Transcription,,False,
PSPTO_1771,0.077564688,PSPTO_1771,DUF1127 domain-containing protein,Function unknown,,False,
PSPTO_2945,0.0773507593,PSPTO_2945,MarR family transcriptional regulator,Transcription,,False,
PSPTO_3749,0.0770357939,PSPTO_3749,MarR family transcriptional regulator,Transcription,,False,
PSPTO_4170,0.0757987774,glpD,glycerol-3-phosphate dehydrogenase,Energy production and conversion,,False,
PSPTO_3748,0.07564258010000001,PSPTO_3748,HlyD family efflux transporter periplasmic adaptor subunit,Defense mechanisms,,False,
PSPTO_3417,0.0752561928,PSPTO_3417,hypothetical protein,No COG annotation,,False,
PSPTO_2185,0.0745840454,etfB-2,electron transfer flavoprotein subunit beta/FixA family protein,Energy production and conversion,PsrA,True,
PSPTO_2193,0.071503309,PSPTO_2193,START domain-containing protein,Lipid transport and metabolism,,False,
PSPTO_5087,0.0689963307,mdcA,malonate decarboxylase subunit alpha,Lipid transport and metabolism,,False,
PSPTO_2186,0.06678365210000001,etfA-2,electron transfer flavoprotein subunit alpha,Energy production and conversion,PsrA,True,
PSPTO_RS09640,-0.06909447590000001,PSPTO_RS09640,hypothetical protein,No COG annotation,,False,
