locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
USA300HOU_RS12725,0.19227750300000002,yhbJ,multidrug efflux protein,Defense mechanisms,"semB,yhbJ",,https://aureowiki.med.uni-greifswald.de/SAUPAN005853000
USA300HOU_RS12720,0.17888342100000001,semB,MFS transporter,Inorganic ion transport and metabolism,"semB,yhbJ",,https://aureowiki.med.uni-greifswald.de/SAUPAN005852000
USA300HOU_RS12385,0.108360704,ureB,urease subunit beta,Amino acid transport and metabolism,"ureA,ureB,ureC,ureE,ureF,ureG,ureD",,https://aureowiki.med.uni-greifswald.de/SAUPAN005754000
USA300HOU_RS12390,0.107722523,ureC,urease subunit alpha,Amino acid transport and metabolism,"ureA,ureB,ureC,ureE,ureF,ureG,ureD",,https://aureowiki.med.uni-greifswald.de/SAUPAN005755000
USA300HOU_RS12380,0.105385138,ureA,urease subunit gamma,Amino acid transport and metabolism,"ureA,ureB,ureC,ureE,ureF,ureG,ureD",,https://aureowiki.med.uni-greifswald.de/SAUPAN005753000
USA300HOU_RS00900,0.09730398,USA300HOU_RS00900,hypothetical protein,No COG category,,WalR,https://aureowiki.med.uni-greifswald.de/SAUPAN001008000
USA300HOU_RS01220,0.08624791,dppA,nickel ABC transporter substrate-binding protein,Amino acid transport and metabolism,dppA,,https://aureowiki.med.uni-greifswald.de/SAUPAN001102000
USA300HOU_RS13630,-0.08990487400000001,stpC,lantibiotic ABC transporter ATP-binding protein,Defense mechanisms,"stpC,smpC",,https://aureowiki.med.uni-greifswald.de/SAUPAN006150000
USA300HOU_RS00550,-0.09457698,yjbB,Na/Pi cotransporter,Inorganic ion transport and metabolism,yjbB,WalR,https://aureowiki.med.uni-greifswald.de/SAUPAN000899000
USA300HOU_RS06685,-0.097070295,USA300HOU_RS06685,hypothetical protein,No COG category,,Genomic Island 4,https://aureowiki.med.uni-greifswald.de/SAUPAN003673000
USA300HOU_RS10555,-0.10041290800000001,USA300HOU_RS10555,chemotaxis inhibitory protein,No COG category,,"WalR,Genomic Island 9",https://aureowiki.med.uni-greifswald.de/SAUPAN005020000
USA300HOU_RS13740,-0.100879245,USA300HOU_RS13740,hypothetical protein,No COG category,,WalR,
USA300HOU_RS12775,-0.106280174,hrtB,hemin ABC transporter permease,Inorganic ion transport and metabolism,"hrtA,hrtB",HssR,https://aureowiki.med.uni-greifswald.de/SAUPAN005869000
