locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NagC,link
b0678,0.4029186712,nagB,glucosamine-6-phosphate deaminase,Nucleotide transport and metabolism,nagBAC-umpH,"RpoD,Crp,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10633
b0679,0.34012631330000004,nagE,N-acetylglucosamine specific PTS enzyme IIABC component,Carbohydrate transport and metabolism,nagE,"RpoD,Crp,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10635
b1498,0.33432345620000004,ydeN,putative sulfatase,Inorganic ion transport and metabolism,ydeNM,"RpoD,GadX,AraC,NagC,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6788
b0677,0.2873292948,nagA,N-acetylglucosamine-6-phosphate deacetylase,Carbohydrate transport and metabolism,nagBAC-umpH,"RpoD,Crp,PhoP,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10632
b1497,0.2374207877,ydeM,putative anaerobic sulfatase maturation enzyme YdeM,Energy production and conversion,ydeNM,"RpoD,GadX,AraC,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6787
b0681,0.1741702146,chiP,chitobiose outer membrane channel,Cell wall/membrane/envelope biogenesis,chiPQ,"Crp,NagC,ChiX",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6370
b1634,0.1318777716,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,"Intracellular trafficking, secretion, and vesicular transport",dtpA,"RpoD,YfeC,YdcI,GadX,OmpR,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6877
b1737,0.11116283140000001,chbC,N%2CN'-diacetylchitobiose-specific PTS enzyme IIC component,Carbohydrate transport and metabolism,chbBCARFG,"Crp,ChbR,NagC,ChiX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10141
b0676,0.10508258270000001,nagC,DNA-binding transcriptional dual regulator NagC,Transcription,nagBAC-umpH,"RpoD,Crp,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10636
b2943,0.1007812701,galP,galactose:H(+) symporter,Amino acid transport and metabolism,galP,"RpoD,Crp,OmpR,NagC,GalR,GalS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b1738,0.0941469184,chbB,N%2CN'-diacetylchitobiose-specific PTS enzyme IIB component,Carbohydrate transport and metabolism,chbBCARFG,"YfeC,Crp,ChbR,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10140
b1736,0.0811189357,chbA,N%2CN'-diacetylchitobiose-specific PTS enzyme IIA component,Carbohydrate transport and metabolism,chbBCARFG,"Crp,ChbR,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10142
b1907,0.0784754377,tyrP,tyrosine:H(+) symporter,Amino acid transport and metabolism,tyrP,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11041
b1734,0.07246829240000001,chbF,monoacetylchitobiose-6-phosphate hydrolase,Carbohydrate transport and metabolism,chbBCARFG,"Crp,ChbR,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10144
b3730,-0.09983795840000001,glmU,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,Cell wall/membrane/envelope biogenesis,glmUS,"RpoD,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11198
b3729,-0.1394064415,glmS,L-glutamine--D-fructose-6-phosphate aminotransferase,Cell wall/membrane/envelope biogenesis,glmUS,"RpoD,glmZ,glmY,NagC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10382
