locus,gene_weight,gene_name,gene_product,cog,regulator,Fnr,NarL,link
b1223,0.3348381461234627,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,"RpoD,Fis,IHF,NarL,Fnr,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1224,0.3282009704820052,narG,nitrate reductase A subunit alpha,Energy production and conversion,"RpoD,YcjW,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
b1225,0.2588394165451552,narH,nitrate reductase A subunit beta,Energy production and conversion,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10639
b1226,0.25717129728823,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone,Energy production and conversion,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10641
b1227,0.2473675372512538,narI,nitrate reductase A subunit gamma,Energy production and conversion,"RpoD,RstA,Fis,IHF,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10640
b1797,0.1962859041891457,yeaR,DUF1971 domain-containing protein YeaR,Inorganic ion transport and metabolism,"RpoD,NsrR,NarP,NarL,Fis",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6983
b1796,0.1395289047853154,yoaG,DUF1869 domain-containing protein YoaG,Function unknown,"RpoD,NsrR,NarP,NarL,Fis",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6982
b1474,0.1325028596358992,fdnG,formate dehydrogenase N subunit alpha,Energy production and conversion,"RpoD,NarP,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b3365,0.1318949493769929,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b3366,0.1225697895073033,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,"RpoD,Crp,Cra,IHF,NarL,NarP,Fis,H-NS,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b1475,0.0911262344339948,fdnH,formate dehydrogenase N subunit beta,Energy production and conversion,"RpoD,NarP,NarL,Fnr",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11228
b3598,0.0741907113047699,yibI,DUF3302 domain-containing protein YibI,Function unknown,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11765
b1228,0.0722033376342728,ychS,putative uncharacterized protein YchS,No COG annotation,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6631
b1587,-0.0850182933908962,ynfE,putative selenate reductase YnfE,Energy production and conversion,"RpoD,RpoS,NarL,Fnr,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6845
b1256,-0.0863621091080274,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,"rybB,ArcA,Crp,NarL,Fnr,SoxS,Fur,micA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
