locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FadR,link
b3846,0.2934763983,fadB,dodecenoyl-CoA delta-isomerase%2C enoyl-CoA hydratase%2C 3-hydroxybutyryl-CoA epimerase%2C 3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,fadBA,"RpoD,YidZ,Fis,FadR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10279
b0221,0.2919511333,fadE,acyl-CoA dehydrogenase,Lipid transport and metabolism,fadE,"ArcA,ppGpp,FadR,OmpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6105
b3845,0.2588632112,fadA,3-ketoacyl-CoA thiolase,Lipid transport and metabolism,fadBA,"RpoD,YidZ,Fis,FadR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10278
b2342,0.2322425747,fadI,3-ketoacyl-CoA thiolase FadI,Lipid transport and metabolism,fadIJ,"RpoD,ArcA,FadR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7213
b3081,0.18809086060000002,fadH,2%2C4-dienoyl-CoA reductase,Energy production and conversion,fadH,"Crp,ArcA,FadR,HipB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G36
b2341,0.18430726320000002,fadJ,3-hydroxyacyl-CoA dehydrogenase FadJ,Lipid transport and metabolism,fadIJ,"RpoD,ArcA,FadR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7212
b0443,0.1285740532,fadM,thioesterase III,Function unknown,fadM,"RpoE,FadR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6244
b1836,0.11130081300000001,yebV,protein YebV,Function unknown,yebV,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7009
b1805,0.1066957055,fadD,fatty acyl-CoA synthetase,Lipid transport and metabolism,fadD-sroD,"RpoD,Crp,ArcA,ppGpp,FadR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11530
b2323,-0.1055498591,fabB,beta-ketoacyl-[acyl carrier protein] synthase I,Lipid transport and metabolism,fabB,"RpoD,FadR,FabR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10274
b0954,-0.1118182701,fabA,beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase,Lipid transport and metabolism,fabA,"RpoD,FadR,FabR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10273
