locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Lrp,link
b1189,0.2725394994,dadA,D-amino acid dehydrogenase,Amino acid transport and metabolism,dadAX,"RpoD,YddM,Crp,ppGpp,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11407
b1190,0.26484999400000003,dadX,alanine racemase 2,Amino acid transport and metabolism,dadAX,"RpoD,Crp,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11408
b2670,0.1658602472,alaE,L-alanine exporter,"Intracellular trafficking, secretion, and vesicular transport",alaE,"RpoD,Lrp,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7399
b1798,0.1458599421,leuE,leucine exporter,Amino acid transport and metabolism,leuE,"Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6984
b2209,0.14119102590000002,eco,serine protease inhibitor ecotin,Cell wall/membrane/envelope biogenesis,eco,Lrp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10255
b3089,0.136499173,sstT,serine/threonine:Na(+) symporter,Amino acid transport and metabolism,sstT,"gcvB,Lrp,OmpR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12732
b1634,0.11231300300000001,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,"Intracellular trafficking, secretion, and vesicular transport",dtpA,"RpoD,YfeC,YdcI,GadX,OmpR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6877
b4596,0.0993153221,yciZ,UPF0509 protein YciZ,Function unknown,yciZT,"RpoS,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10591
b1534,0.0991929018,ydeE,dipeptide exporter,Amino acid transport and metabolism,ydeE,"Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11640
b0401,0.094688877,brnQ,branched chain amino acid transporter BrnQ,Amino acid transport and metabolism,brnQ-proY,Lrp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12168
b1605,0.08564534160000001,ydgI,putative arginine:ornithine antiporter,Amino acid transport and metabolism,ydgI-folM,"ppGpp,ArgR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6861
b2845,0.08480676050000001,yqeG,putative transporter YqeG,Amino acid transport and metabolism,yqeG,"ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7465
b0381,0.0822912323,ddlA,D-alanine--D-alanine ligase A,Nucleotide transport and metabolism,ddlA,"YdcI,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10213
b3403,0.0820857212,pck,phosphoenolpyruvate carboxykinase (ATP),Nucleotide transport and metabolism,pck,"RpoD,YeiE,Crp,Cra,DcuR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10688
b3617,0.0745969851,kbl,2-amino-3-ketobutyrate CoA ligase,Coenzyme transport and metabolism,kbl-tdh,"RpoD,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10512
b4520,0.0722967961,ymgF,inner membrane protein that interacts with cell division proteins,No COG annotation,,YeiE,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10261
b4077,0.0720380003,gltP,glutamate/aspartate : H(+) symporter GltP,Energy production and conversion,gltP,"YidZ,YdcI,ArgR,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10405
b2669,-0.1283385507,stpA,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,stpA,"RpoD,StpA,Lrp,H-NS,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11554
