locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoS,ryhB,IHF,Crp,Fur,Fnr,ArcA,link
b0729,0.3175901808,sucD,succinyl-CoA synthetase subunit alpha,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,RpoS,Fur,IHF,Fnr,Crp,ArcA,ryhB",True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10982
b0728,0.3169146049,sucC,succinyl-CoA synthetase subunit beta,Nucleotide transport and metabolism,sdhCDAB-sucABCD,"RpoD,YfeD,RpoS,Fur,IHF,Fnr,Crp,ArcA,ryhB,spf",True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10981
b0727,0.2828974811,sucB,dihydrolipoyltranssuccinylase,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,RpoS,Fur,IHF,Fnr,Crp,ArcA,ryhB",True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10980
b0726,0.2311647279,sucA,subunit of E1(0) component of 2-oxoglutarate dehydrogenase,Nucleotide transport and metabolism,sdhCDAB-sucABCD,"RpoD,RpoS,Fur,IHF,Fnr,Crp,ArcA,Nac,ryhB",True,True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10979
b0720,0.12073938370000001,gltA,citrate synthase,Energy production and conversion,gltA,"RpoD,YdcI,Crp,IHF,ArcA,ppGpp,Nac,spf",False,False,True,True,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10402
b0724,0.112801144,sdhB,succinate:quinone oxidoreductase%2C iron-sulfur cluster binding protein,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,Fur,Crp,Fnr,ArcA,ryhB",False,True,False,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10932
b4069,0.1065106787,acs,acetyl-CoA synthetase (AMP-forming),Nucleotide transport and metabolism,acs-yjcH-actP,"RpoD,RpoS,Crp,Fis,IHF",True,False,True,True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11448
b3236,0.0946248935,mdh,malate dehydrogenase,Energy production and conversion,mdh,"RpoD,FlhDC,ArcA,Crp,DpiA,BtsR",False,False,False,True,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10576
b0118,0.0925312669,acnB,hypothetical protein,Energy production and conversion,acnB,"RpoD,ryhB,Fis,ArcA,Cra,Crp,AcnB",False,True,False,True,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12316
b1136,0.0921248757,icd,isocitrate dehydrogenase,Energy production and conversion,icd,"RpoD,Cra,ArcA,Nac",False,False,False,False,False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10489
b2150,0.0820449265,mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,mglBAC,"RpoD,RpoS,FlhDC,GalR,GalS,Crp,Nac",True,False,False,True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b1660,-0.0868445987,ydhC,putative transporter YdhC,Amino acid transport and metabolism,ydhC,,False,False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
