locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Leu-tRNA,IlvY,Ile-tRNA,link
b3769,0.2100184048,ilvM,acetolactate synthase II subunit IlvM,Amino acid transport and metabolism,ilvLXG_1G_2MEDA,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10501
b4488_2,0.1918121499,ilvG_2,"acetolactate synthase II, large subunit, C-ter fragment (pseudogene)",No COG Annotation,ilvLXG_1G_2MEDA,,False,False,False,
b4488_1,0.17504280860000002,ilvG_1,"acetolactate synthase II, large subunit, N-ter fragment (pseudogene)",No COG Annotation,ilvLXG_1G_2MEDA,,False,False,False,
b3771,0.1461899729,ilvD,dihydroxy-acid dehydratase,Amino acid transport and metabolism,ilvLXG_1G_2MEDA,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10496
b3772,0.1460943146,ilvA,threonine deaminase,Amino acid transport and metabolism,ilvLXG_1G_2MEDA,"RpoD,YfeD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10493
b0003,0.1375497713,thrB,homoserine kinase,Nucleotide transport and metabolism,thrLABC,"RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10999
b3770,0.1352329796,ilvE,branched-chain-amino-acid aminotransferase,Amino acid transport and metabolism,ilvLXG_1G_2MEDA,"RpoD,ppGpp,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10497
b0004,0.134220745,thrC,threonine synthase,Amino acid transport and metabolism,thrLABC,"RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11000
b3774,0.130987522,ilvC,ketol-acid reductoisomerase (NADP(+)),Amino acid transport and metabolism,ilvC,"RpoD,gcvB,IlvY",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10495
b0074,0.1249679934,leuA,2-isopropylmalate synthase,Amino acid transport and metabolism,leuLABCD,"RpoD,LeuO,Leu-tRNA,Lrp,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11226
b0073,0.1207039344,leuB,3-isopropylmalate dehydrogenase,Energy production and conversion,leuLABCD,"RpoD,LeuO,Leu-tRNA,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11577
b0072,0.1201765699,leuC,3-isopropylmalate dehydratase subunit LeuC,Amino acid transport and metabolism,leuLABCD,"RpoD,YeiE,LeuO,Leu-tRNA,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11576
b0071,0.11726050360000001,leuD,3-isopropylmalate dehydratase subunit LeuD,Amino acid transport and metabolism,leuLABCD,"RpoD,LeuO,Leu-tRNA,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11575
b0005,0.0964734254,yaaX,DUF2502 domain-containing protein YaaX,Function unknown,yaaX,Lrp,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6081
