,refseq,start,end,strand,gene_name,gene_product,ncbi_protein,regulator,cog
SP5448_00005,CP008776.1,232,1587,+,dnaA,chromosomal replication initiator protein DnaA,AKK69518.1,,"Replication, recombination and repair"
SP5448_00010,CP008776.1,1742,2878,+,dnaN,DNA polymerase III subunit beta,AKK69519.1,Nra_exponetional_M49,"Replication, recombination and repair"
SP5448_00015,CP008776.1,2953,3150,+,yyzM,hypothetical protein,AKK69520.1,,Function unknown
SP5448_00020,CP008776.1,3480,4595,+,ychF,GTP-binding protein,AKK69521.1,Rgg,"Translation, ribosomal structure and biogenesis"
SP5448_00025,CP008776.1,4665,5234,+,pth,peptidyl-tRNA hydrolase,AKK69522.1,Rgg,"Translation, ribosomal structure and biogenesis"
SP5448_00030,CP008776.1,5237,8740,+,mfd,transcription-repair coupling factor,AKK69523.1,Rgg,"Replication, recombination and repair"
SP5448_00035,CP008776.1,8902,9174,+,yabO,hypothetical protein,AKK69524.1,,"Translation, ribosomal structure and biogenesis"
SP5448_00040,CP008776.1,9161,9532,+,divIC,septum formation initiation protein,AKK69525.1,Nra_transition_M49,"Cell cycle control, cell division, chromosome partitioning"
SP5448_00050,CP008776.1,9667,10953,+,XK27_09285,beta-lactamase,AKK69526.1,,Defense mechanisms
SP5448_00055,CP008776.1,10950,12236,+,tilS,tRNA(Ile)-lysidine synthase,AKK69527.1,,"Cell cycle control, cell division, chromosome partitioning"
SP5448_00060,CP008776.1,12241,12783,+,hpt,hypoxanthine phosphoribosyltransferase,AKK69528.1,Mga,Nucleotide transport and metabolism
SP5448_00065,CP008776.1,12805,14784,+,ftsH,cell division protein FtsH,AKK69529.1,"Mga,Irr_EE_M6","Posttranslational modification, protein turnover, chaperones"
SP5448_00070,CP008776.1,15040,16500,+,yfnA,amino acid permease,AKK69530.1,,Amino acid transport and metabolism
SP5448_00185,CP008776.1,25163,26359,+,usp,amidase,AKK69531.1,"CovR,CovR,CovR,VicR",Cell wall/membrane/envelope biogenesis
SP5448_00190,CP008776.1,26612,27574,+,prs,ribose-phosphate pyrophosphokinase,AKK69532.1,,Nucleotide transport and metabolism
SP5448_00195,CP008776.1,27760,28515,+,recO,DNA recombination protein RecO,AKK69533.1,"Rgg,Nra_exponetional_M49,Irr_EE_M6","Replication, recombination and repair"
SP5448_00200,CP008776.1,28618,29625,+,plsX,phosphate acyltransferase,AKK69534.1,,Lipid transport and metabolism
SP5448_00205,CP008776.1,29618,29860,+,acpP1,acyl carrier protein,AKK69535.1,"Irr_EE_M6,Irr_LE_M6",Function unknown
SP5448_00210,CP008776.1,30011,30715,+,purC,phosphoribosylaminoimidazole-succinocarboxamide synthase,AKK69536.1,"PurR,Mga,Rgg,LacD.1_M14,CovR,CovR,Nra_exponetional_M49,Nra_stationary_M49,Irr_EE_M6",Nucleotide transport and metabolism
SP5448_00215,CP008776.1,30839,34564,+,purL,phosphoribosylformylglycinamidine synthase,AKK69537.1,"PurR,CovR,Nra_transition_M49",Nucleotide transport and metabolism
SP5448_00220,CP008776.1,34725,36179,+,purF,amidophosphoribosyltransferase,AKK69538.1,"PurR,CovR,CovR,Nra_stationary_M49",Nucleotide transport and metabolism
SP5448_00225,CP008776.1,36207,37229,+,purM,phosphoribosylaminoimidazole synthetase,AKK69539.1,"PurR,Nra_transition_M49,Nra_stationary_M49",Nucleotide transport and metabolism
SP5448_00230,CP008776.1,37397,37951,+,purN,phosphoribosylglycinamide formyltransferase,AKK69540.1,"PurR,Rgg,CovR,Nra_exponetional_M49",Nucleotide transport and metabolism
SP5448_00235,CP008776.1,38135,39682,+,purH,IMP cyclohydrolase,AKK69541.1,,Nucleotide transport and metabolism
SP5448_00240,CP008776.1,39740,40864,-,SP5448_00240,amidase,AKK69542.1,Nra_stationary_M49,Function unknown
SP5448_00245,CP008776.1,41117,42382,+,purD,phosphoribosylamine--glycine ligase,AKK69543.1,"PurR,Rgg,CovR,CovR,Nra_transition_M49,Nra_stationary_M49,Irr_EE_M6",Nucleotide transport and metabolism
SP5448_00250,CP008776.1,42660,43151,+,purE,phosphoribosyl carboxyaminoimidazole mutase,AKK69544.1,"PurR,Mga,CovR,CovR,Nra_transition_M49,Nra_stationary_M49",Nucleotide transport and metabolism
SP5448_00255,CP008776.1,43138,44211,+,purK,phosphoribosylaminoimidazole carboxylase,AKK69545.1,"PurR,CovR,CovR,Nra_stationary_M49,Irr_EE_M6",Nucleotide transport and metabolism
SP5448_00260,CP008776.1,44238,45881,+,SP5448_00260,abortive infection protein,AKK69546.1,"CovR,Nra_exponetional_M49,Srv_M1,Irr_LE_M6",Function unknown
SP5448_00265,CP008776.1,45899,47191,+,purB,adenylosuccinate lyase,AKK69547.1,CovR,Nucleotide transport and metabolism
SP5448_00270,CP008776.1,47323,48234,+,SP5448_00270,Cro/Cl family transcriptional regulator,AKK69548.1,"Rgg,Nra_stationary_M49",Transcription
SP5448_00280,CP008776.1,48460,49458,+,ruvB,ATP-dependent DNA helicase RuvB,AKK69549.1,Nra_stationary_M49,"Replication, recombination and repair"
SP5448_00285,CP008776.1,49596,50033,+,ptpA,protein tyrosine phosphatase,AKK69550.1,Mga,Signal transduction mechanisms
SP5448_00290,CP008776.1,50056,50457,+,XK27_09805,membrane protein,AKK69551.1,,Function unknown
SP5448_00295,CP008776.1,50454,52229,+,XK27_09800,acyltransferase,AKK69552.1,"CovR,CovR",Lipid transport and metabolism
