locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FlhDC,link
b1073,0.2155737667,flgB,flagellar basal-body rod protein FlgB,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G358
b1074,0.21293978030000002,flgC,flagellar basal-body rod protein FlgC,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G359
b1075,0.2115274519,flgD,flagellar biosynthesis%2C initiation of hook assembly,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G360
b1076,0.20367737360000002,flgE,flagellar hook protein FlgE,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G361
b1938,0.2015812018,fliF,flagellar basal-body MS-ring and collar protein,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11347
b1077,0.19994448410000001,flgF,flagellar basal-body rod protein FlgF,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G362
b1944,0.1944748147,fliL,flagellar protein FliL,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10322
b1937,0.1927324986,fliE,flagellar basal-body protein FliE,Cell motility,fliE,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b1945,0.1829921153,fliM,flagellar motor switch protein FliM,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10323
b1078,0.1817177166,flgG,flagellar basal-body rod protein FlgG,Cell motility,flgBCDEFGHIJ,"RpoD,YciT,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G363
b1946,0.1806831861,fliN,flagellar motor switch protein FliN,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10324
b1922,0.17500676810000002,fliA,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,fliAZ-tcyJ,"RpoD,YdcN,FliA,H-NS,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1939,0.1739011775,fliG,flagellar motor switch protein FliG,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11654
b1940,0.17233430630000002,fliH,flagellar biosynthesis protein FliH,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11656
b1079,0.1712687835,flgH,flagellar L-ring protein,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G364
b1941,0.1620759265,fliI,flagellum-specific ATP synthase FliI,Cell motility,fliFGHIJK,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G377
b1942,0.16054768660000002,fliJ,flagellar biosynthesis protein FliJ,Cell motility,fliFGHIJK,"RpoD,FliA,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G378
b1072,0.159692482,flgA,flagellar basal body P-ring formation protein FlgA,Cell motility,flgAMN,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G357
b1080,0.1562439025,flgI,flagellar P-ring protein,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G365
b1947,0.156165893,fliO,flagellar biosynthesis protein FliO,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11224
b1081,0.1518120862,flgJ,putative peptidoglycan hydrolase FlgJ,Cell wall/membrane/envelope biogenesis,flgBCDEFGHIJ,"RpoD,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G366
b1904,0.1511534746,yecR,lipoprotein YecR,Function unknown,yecR,"Fnr,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7035
b1880,0.15026338790000002,flhB,flagellar biosynthesis protein FlhB,Cell motility,flhBAE,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7028
b1948,0.1472022517,fliP,flagellar biosynthesis protein FliP,Cell motility,fliLMNOPQR,"RpoD,FliA,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11975
b1949,0.14227412050000002,fliQ,flagellar biosynthesis protein FliQ,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b1921,0.13609194200000002,fliZ,DNA-binding transcriptional regulator FliZ,Transcription,fliAZ-tcyJ,"RpoD,YidZ,H-NS,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11356
b1878,0.1359662248,flhE,flagellar protein,Cell motility,flhBAE,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7027
b1943,0.1236580525,fliK,flagellar hook-length control protein,Cell motility,fliFGHIJK,"RpoD,FliA,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G379
