locus,gene_weight,gene_name,gene_product,cog,regulator,RpoS,Crp,GalS,GalR,link
b0758,0.2512601229455786,galT,galactose-1-phosphate uridylyltransferase,Energy production and conversion,"RpoD,RpoS,Crp,GalR,H-NS,GalS,HU",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10366
b0759,0.2338602713020275,galE,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,"RpoD,YidZ,RpoS,Crp,H-NS,GalS,GalR,HU",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10362
b0757,0.1950336894601956,galK,galactokinase,Nucleotide transport and metabolism,"RpoD,spf,RpoS,Crp,H-NS,GalS,GalR,HU",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10363
b2148,0.1730696014288697,mglC,D-galactose/methyl-galactoside ABC transporter membrane subunit,Carbohydrate transport and metabolism,"RpoD,RpoS,GalR,GalS,Fis,FlhDC,Crp,ppGpp",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10594
b2149,0.171694861926548,mglA,D-galactose/methyl-galactoside ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,RpoS,GalR,GalS,Fis,FlhDC,Crp,ppGpp,Nac,GlaR",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10592
b2943,0.1713584385294795,galP,galactose:H(+) symporter,Amino acid transport and metabolism,"RpoD,Crp,OmpR,NagC,GalR,GalS",False,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12148
b2150,0.1566948856384136,mglB,D-galactose/methyl-galactoside ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,"RpoD,RpoS,GalR,GalS,FlhDC,Crp,Nac",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10593
b0756,0.0959156253439717,galM,galactose-1-epimerase,Carbohydrate transport and metabolism,"RpoD,RpoS,Crp,H-NS,GalS,GalR,HU",True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11698
b2151,0.0955894275075454,galS,DNA-binding transcriptional dual regulator GalS,Transcription,"RpoD,GalR,GalS,Crp",False,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10365
b4662,0.0800534759386822,sgrT,putative inhibitor of the PtsG glucose transporter,Energy production and conversion,"RpoD,RpoS,Cra,SgrR,ppGpp,DksA",True,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10617
