,gene_name,start,end,strand,gene_product,cog,uniprot,regulator
PSPTO_0001,dnaA,339,1874,+,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",A0A0Q0CL03,
PSPTO_0002,dnaN,1913,3016,+,DNA polymerase III subunit beta,"Replication, recombination and repair",A0A099SQP6,
PSPTO_0003,recF,3039,4142,+,DNA replication/repair protein RecF,"Replication, recombination and repair",A0A099ST62,
PSPTO_0004,gyrB,4147,6564,+,DNA topoisomerase (ATP-hydrolyzing) subunit B,"Replication, recombination and repair",A0A099SQJ9,
PSPTO_0005,PSPTO_0005,7188,8798,+,SAM-dependent DNA methyltransferase,Defense mechanisms,UPI0002E6C200,
PSPTO_0006,PSPTO_0006,8861,10168,+,restriction endonuclease subunit S,"Replication, recombination and repair",Q88BJ8,
PSPTO_0007,PSPTO_0007,10179,11063,+,hypothetical protein,Function unknown,A0A0Q0BIN3,
PSPTO_0008,PSPTO_0008,11067,14366,+,type I restriction endonuclease subunit R,"Replication, recombination and repair",Q88BJ6,
PSPTO_0009,PSPTO_0009,14512,15741,-,IS91 family transposase,"Replication, recombination and repair",Q877Q5,
PSPTO_5633,PSPTO_5633,15948,16421,+,DUF3757 domain-containing protein,Function unknown,A0A0N8T433,
PSPTO_RS00055,PSPTO_RS00055,16484,16609,-,IS91 family transposase,"Replication, recombination and repair",,
PSPTO_0011,PSPTO_0011,16743,17453,+,M48 family metallopeptidase,Function unknown,A0A0Q0CRD3,
PSPTO_RS00065,PSPTO_RS00065,17511,18561,+,hypothetical protein,No COG annotation,,
PSPTO_0014,PSPTO_0014,18573,18803,-,hypothetical protein,No COG annotation,A0A0Q0ELY4,
PSPTO_0015,PSPTO_0015,19321,19932,+,hypothetical protein,No COG annotation,A0A0Q0B458,
PSPTO_0016,PSPTO_0016,19983,20435,+,hypothetical protein,No COG annotation,UPI0003A7D339,
PSPTO_0017,PSPTO_0017,20738,23149,-,DEAD/DEAH box helicase,"Replication, recombination and repair",UPI0013791366,
PSPTO_0018,PSPTO_0018,23290,24099,-,AAA family ATPase,"Replication, recombination and repair",A0A099SW04,
PSPTO_0019,PSPTO_0019,24096,25118,-,IS21-like element ISPsy4 family transposase,"Replication, recombination and repair",A0A099SYT7,
PSPTO_RS00100,PSPTO_RS00100,25202,25447,-,hypothetical protein,"Replication, recombination and repair",,
PSPTO_RS00105,PSPTO_RS00105,25556,26068,-,hypothetical protein,No COG annotation,UPI0006213936,
PSPTO_RS00110,PSPTO_RS00110,26153,26758,-,hypothetical protein,No COG annotation,,
PSPTO_RS00115,PSPTO_RS00115,27068,27790,-,hypothetical protein,No COG annotation,,
PSPTO_0022,PSPTO_0022,28202,29323,+,helix-turn-helix transcriptional regulator,Transcription,A0A3M2Y8F5,
PSPTO_0023,PSPTO_0023,29392,29919,+,hypothetical protein,No COG annotation,UPI0003A513E8,
PSPTO_RS00130,PSPTO_RS00130,30005,30553,-,hypothetical protein,"Replication, recombination and repair",UPI00062225E3,
PSPTO_0024,PSPTO_0024,30850,30987,+,hypothetical protein,No COG annotation,Q88BI4,
PSPTO_0025,PSPTO_0025,31338,31967,+,HAD family hydrolase,Function unknown,A0A0Q0CIT0,
PSPTO_0026,PSPTO_0026,32022,33068,-,hypothetical protein,No COG annotation,A0A0N8T795,
PSPTO_0027,PSPTO_0027,33254,33976,+,hypothetical protein,No COG annotation,A0A0Q0C3T7,
PSPTO_0028,PSPTO_0028,33978,35933,+,DDE-type integrase/transposase/recombinase,"Replication, recombination and repair",A0A0Q0C1L2,
PSPTO_0029,PSPTO_0029,35933,36868,+,TniB family NTP-binding protein,"Replication, recombination and repair",A0A1X0VQS3,
PSPTO_0030,PSPTO_0030,36881,38767,+,TniQ family protein,Function unknown,A0A0Q0DFI5,
PSPTO_0031,PSPTO_0031,39345,40082,+,metallophosphoesterase family protein,Function unknown,A0A0Q0BQ88,
PSPTO_0032,PSPTO_0032,40884,41852,-,ParB N-terminal domain-containing protein,Transcription,A0A0N0G0E2,
PSPTO_0033,PSPTO_0033,41852,42757,-,ParB N-terminal domain-containing protein,Transcription,A0A1X0VQC5,
PSPTO_0034,PSPTO_0034,42754,44310,-,recombinase family protein,"Replication, recombination and repair",A0A1X0VQA6,
PSPTO_0035,PSPTO_0035,45183,46736,-,IS66-like element ISPsy5 family transposase,"Replication, recombination and repair",A0A2V4P180,
PSPTO_0036,tnpB,46754,47110,-,IS66 family insertion sequence element accessory protein TnpB,"Replication, recombination and repair",UPI0009ABB313,
PSPTO_0037,PSPTO_0037,47448,52358,+,DEAD/DEAH box helicase,"Replication, recombination and repair",Q88BH4,
PSPTO_0038,PSPTO_0038,52403,54493,+,DUF262 domain-containing protein,Function unknown,A0A0Q0EU39,
PSPTO_RS00210,PSPTO_RS00210,54637,54819,-,hypothetical protein,No COG annotation,A0A0Q0BEW9,
PSPTO_0039,PSPTO_0039,54971,56524,-,IS66-like element ISPsy5 family transposase,"Replication, recombination and repair",A0A2V4P180,
PSPTO_0040,tnpB,56542,56898,-,IS66 family insertion sequence element accessory protein TnpB,"Replication, recombination and repair",UPI0009ABB313,
PSPTO_RS00225,PSPTO_RS00225,56937,57080,-,hypothetical protein,No COG annotation,UPI0003068BED,
PSPTO_0042,PSPTO_0042,57351,58214,+,ATP-binding protein,"Post-translational modification, protein turnover,and chaperones",UPI0002E4BCD1,
