locus,gene_weight,gene_name,gene_product,cog,regulator,Ile-tRNA,ppGpp,IHF,Lrp,Val-tRNA,Leu-tRNA,link
b3769,0.3250529276680964,ilvM,acetolactate synthase II subunit IlvM,Amino acid transport and metabolism,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10501
b4488,0.2401838974866658,ilvG,acetolactate synthase II subunit IlvG%2C N-terminal fragment (pseudogene),Coenzyme transport and metabolism,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G8221
b3771,0.2396825563104397,ilvD,dihydroxy-acid dehydratase,Amino acid transport and metabolism,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10496
b3770,0.2349310287236749,ilvE,branched-chain-amino-acid aminotransferase,Amino acid transport and metabolism,"RpoD,ppGpp,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10497
b3772,0.2308850979170975,ilvA,threonine deaminase,Amino acid transport and metabolism,"RpoD,YfeD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",True,True,True,True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10493
b0750,0.1110951622224808,nadA,quinolinate synthase,Nucleotide transport and metabolism,NadR,False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10630
b2574,0.1076085261300097,nadB,L-aspartate oxidase,Coenzyme transport and metabolism,"RpoD,YbaQ,NadR",False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10631
b0003,0.1025845030916605,thrB,homoserine kinase,Nucleotide transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp",True,True,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10999
b0004,0.0992376191646107,thrC,threonine synthase,Amino acid transport and metabolism,"RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA",True,True,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11000
b0751,0.0854951513126565,pnuC,nicotinamide riboside transporter,Coenzyme transport and metabolism,NadR,False,False,False,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11700
b0005,0.0846866275439806,yaaX,DUF2502 domain-containing protein YaaX,Function unknown,Lrp,False,False,False,True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6081
