locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,ArgR,Sigma factor X,link
PA0896,0.225241039,aruF,,arginine N-succinyltransferase subunit alpha,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0896&e1=1&assembly=complete
PA0897,0.222373543,aruG,,arginine N-succinyltransferase subunit beta,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0897&e1=1&assembly=complete
PA0898,0.206792094,aruD,,N-succinylglutamate 5-semialdehyde dehydrogenase,Energy production and conversion,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0898&e1=1&assembly=complete
PA0895,0.184565217,aruC,,acetylornithine aminotransferase,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0895&e1=1&assembly=complete
PA0899,0.169155983,aruB,,N-succinylarginine dihydrolase,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0899&e1=1&assembly=complete
PA3068,0.16365628100000001,gdhB,,NAD-specific glutamate dehydrogenase,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3068&e1=1&assembly=complete
PA0888,0.14197937300000002,aotJ,,arginine/ornithine ABC transporter substrate-binding protein AotJ,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0888&e1=1&assembly=complete
PA1818,0.141529773,ldcA,,lysine-specific pyridoxal 5'-phosphate-dependent carboxylase LdcA,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1818&e1=1&assembly=complete
PA0889,0.127680489,aotQ,,arginine/ornithine ABC transporter permease AotQ,Inorganic ion transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0889&e1=1&assembly=complete
PA0890,0.12729884800000002,aotM,,arginine/ornithine ABC transporter permease AotM,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0890&e1=1&assembly=complete
PA0891,0.125575702,PA0891,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0891&e1=1&assembly=complete
PA0892,0.122223227,aotP,,arginine/ornithine ABC transporter ATP-binding protein AotP,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0892&e1=1&assembly=complete
PA0328,0.119912818,PA0328,,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0328&e1=1&assembly=complete
PA5154,0.110178699,PA5154,,ABC transporter permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5154&e1=1&assembly=complete
PA3934,0.105715894,PA3934,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3934&e1=1&assembly=complete
PA5170,0.10132923,arcD,,arginine/ornithine antiporter,Amino acid transport and metabolism,"ArgR,Anr",True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5170&e1=1&assembly=complete
PA5152,0.092612385,PA5152,,ABC transporter ATP-binding protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5152&e1=1&assembly=complete
PA0901,0.09211822700000001,aruE,,succinylglutamate desuccinylase,Amino acid transport and metabolism,ArgR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0901&e1=1&assembly=complete
PA5153,0.08932801800000001,PA5153,,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5153&e1=1&assembly=complete
PA0893,0.08250199300000001,argR,,transcriptional regulator ArgR,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0893&e1=1&assembly=complete
PA5155,0.082361451,PA5155,,amino acid ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5155&e1=1&assembly=complete
PA2111,0.080874545,PA2111,,hypothetical protein,Amino acid transport and metabolism,AmiE,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2111&e1=1&assembly=complete
PA1073,0.080626318,braD,,branched-chain amino acid ABC transporter permease BraD,Amino acid transport and metabolism,Sigma factor X,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1073&e1=1&assembly=complete
