locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CsqR,link
b3882,0.3186084134,yihU,3-sulfolactaldehyde reductase,Lipid transport and metabolism,yihUTS,"RpoD,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11847
b3881,0.31834359500000003,yihT,6-deoxy-6-sulfofructose-1-phosphate aldolase,Carbohydrate transport and metabolism,yihUTS,"RpoD,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11846
b3880,0.30578985540000003,yihS,sulfoquinovose isomerase,Carbohydrate transport and metabolism,yihUTS,"RpoD,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11845
b3878,0.2959059459,yihQ,sulfoquinovosidase,Carbohydrate transport and metabolism,yihQ,"YdcN,YidZ,YbhD,YgfI,YdhB,YcaN,YdiP,YbeF,YjhI,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11843
b3879,0.2864764933,yihR,putative aldose 1-epimerase YihR,Carbohydrate transport and metabolism,yihR,YneJ,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11844
b3877,0.2769277471,yihP,putative 2%2C3-dihydroxypropane-1-sulfonate export protein,Carbohydrate transport and metabolism,yihPO,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11842
b3875,0.269823608,ompL,putative outer membrane porin L,Cell wall/membrane/envelope biogenesis,ompL,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7814
b3883,0.25061800230000003,yihV,6-deoxy-6-sulfofructose kinase,Nucleotide transport and metabolism,yihVW,"RpoD,YihW,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11848
b3876,0.23415511190000002,yihO,putative sulfoquinovose transporter,Carbohydrate transport and metabolism,yihPO,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11841
b3884,0.11176827,yihW,putative DNA-binding transcriptional regulator YihW,Transcription,yihVW,"RpoD,Crp,CsqR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11849
b2626,0.069051834,yfjJ,CP4-57 prophage%3B protein YfjJ,Function unknown,yfjJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7361
