,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b0002,336,2799,+,thrA,2463,thrLABC,Amino acid transport and metabolism,aspartate kinase / homoserine dehydrogenase,,,,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA"
b0003,2800,3733,+,thrB,933,thrLABC,Amino acid transport and metabolism,homoserine kinase,,,,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA"
b0004,3733,5020,+,thrC,1287,thrLABC,Amino acid transport and metabolism,threonine synthase,,,,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA"
b0005,5233,5530,+,yaaX,297,yaaX,Function unknown,putative protein,,,,
b0006,5682,6459,-,yaaA,777,yaaA,Function unknown,protein that reduces intracellular iron levels under peroxide stress,,,,
b0007,6528,7959,-,yaaJ,1431,yaaJ,Amino acid transport and metabolism,putative transport protein YaaJ,,,,
b0008,8237,9191,+,talB,954,talB,Carbohydrate transport and metabolism,transaldolase B,,,,
b0009,9305,9893,+,mog,588,mog,Coenzyme transport and metabolism,molybdopterin adenylyltransferase,,,,
b0010,9927,10494,-,satP,567,satP,Function unknown,acetate / succinate:H<sup>+</sup> symporter,,,,
b0011,10642,11356,-,yaaW,714,yaaW,Function unknown,conserved protein,,,,
b0014,12162,14079,+,dnaK,1917,dnaK-tpke11-dnaJ,"Posttranslational modification, protein turnover, chaperones",chaperone protein DnaK,,,,"rpoH,ybiH"
b0015,14167,15298,+,dnaJ,1131,dnaK-tpke11-dnaJ,"Posttranslational modification, protein turnover, chaperones",chaperone protein DnaJ,,,,rpoH
b0016,15444,16557,+,insL1,1113,insL-1,"Replication, recombination and repair",IS186/IS421 transposase,,,,
b0018,16750,16960,-,mokC,210,mokC-hokC,Function unknown,regulatory peptide whose translation enables hokC (gef) expression,,,,
b0019,17488,18655,+,nhaA,1167,nhaAR,Inorganic ion transport and metabolism,Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA,,,,"h-NS,nhaR,rpoD,rpoS,ydcI"
b0020,18714,19620,+,nhaR,906,nhaAR,Transcription,NhaR transcriptional activator,,,,"gadX,h-NS,nhaR,rpoD,rpoS"
b0021,19810,20314,-,insB1,504,insAB-1A-1B-1,"Replication, recombination and repair",IS1 protein InsB,,,,
b0022,20232,20508,-,insA,276,insAB-1A-1B-1,"Replication, recombination and repair",IS1 protein InsA,,,,
b0023,20814,21078,-,rpsT,264,rpsT,"Translation, ribosomal structure and biogenesis",30S ribosomal subunit protein S20,,,,arcA
b0025,21406,22348,+,ribF,942,ribF-ileS-lspA-fkpB-ispH,Coenzyme transport and metabolism,bifunctional riboflavin kinase / FMN adenylyltransferase,,,,"arcA,rpoD"
b0026,22390,25207,+,ileS,2817,ribF-ileS-lspA-fkpB-ispH,"Translation, ribosomal structure and biogenesis",isoleucine-tRNA ligase,,,,"arcA,rpoD,rpoH"
b0027,25206,25701,+,lspA,495,ribF-ileS-lspA-fkpB-ispH,Cell wall/membrane/envelope biogenesis,prolipoprotein signal peptidase II,,,,"arcA,rpoD,rpoH"
b0028,25825,26275,+,fkpB,450,ribF-ileS-lspA-fkpB-ispH,"Posttranslational modification, protein turnover, chaperones",peptidyl-prolyl <i>cis-trans</i> isomerase,,,,"arcA,rpoD,rpoH"
b0029,26276,27227,+,ispH,951,ribF-ileS-lspA-fkpB-ispH,Lipid transport and metabolism,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,,,,"arcA,rpoD,rpoH"
b0030,27292,28207,+,rihC,915,rihC,Nucleotide transport and metabolism,ribonucleoside hydrolase 3,,,,
b0031,28373,29195,+,dapB,822,dapB,Amino acid transport and metabolism,4-hydroxy-tetrahydrodipicolinate reductase,,,,"argP,rpoD"
b0032,29650,30799,+,carA,1149,carAB,Nucleotide transport and metabolism,"carbamoyl phosphate synthetase, &alpha; chain",,,,"arcA,argR,fis,ihf,pepA,purR,rpoD,rutR"
b0033,30816,34038,+,carB,3222,carAB,Nucleotide transport and metabolism,"carbamoyl phosphate synthetase, &beta; chain",,,,"arcA,argR,fis,ihf,pepA,purR,rpoD,rutR"
b0034,34299,34695,+,caiF,396,caiF,Transcription,CaiF transcriptional activator,,,,"crp,fnr,h-NS,nac,narL,rpoD"
b0036,35376,36162,-,caiD,786,caiTABCDE,Lipid transport and metabolism,crotonobetainyl-CoA hydratase,,,,"arcA,caiF,crp,fnr,h-NS,rpoD"
b0037,36270,37824,-,caiC,1554,caiTABCDE,Lipid transport and metabolism,carnitine-CoA ligase,,,,"arcA,caiF,crp,fnr,h-NS,rpoD,ybiH"
b0038,37897,39115,-,caiB,1218,caiTABCDE,Energy production and conversion,&gamma,-butyrobetainyl-CoA:carnitine CoA transferase,,,"arcA,caiF,crp,fnr,h-NS,rpoD"
b0039,39243,40386,-,caiA,1143,caiTABCDE,Lipid transport and metabolism,crotonobetainyl-CoA reductase,,,,"arcA,caiF,crp,fnr,h-NS,rpoD"
b0040,40416,41931,-,caiT,1515,caiTABCDE,Inorganic ion transport and metabolism,L-carnitine : &gamma,-butyrobetaine antiporter,,,"arcA,caiF,crp,fnr,h-NS,rpoD"
b0041,42402,43173,+,fixA,771,fixABCX,Energy production and conversion,"predicted elecron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain",,,,"caiF,crp,fnr,rpoD"
b0042,43187,44129,+,fixB,942,fixABCX,Energy production and conversion,"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like",,,,"caiF,crp,fnr,rpoD,ybaQ"
b0043,44179,45466,+,fixC,1287,fixABCX,Energy production and conversion,"flavoprotein (electron transport), possibly involved in anaerobic carnitine metabolism",,,,"caiF,crp,fnr,rpoD"
b0045,45806,47138,+,yaaU,1332,yaaU,Carbohydrate transport and metabolism,"putative transport protein YaaU, major facilitator superfamily (MFS)",,,,"argR,rpoN"
