locus,gene_weight,gene_name,gene_product,cog,regulator,link
SP5448_05425,0.1990414631,mez_1,malate dehydrogenase,Energy production and conversion,FasX_60min_M1,
SP5448_05430,0.1761665972,maeN,malate permease,Energy production and conversion,"FasX_60min_M1,CovR,CovR,CovR",
SP5448_04765,0.172542305,SP5448_04765,general stress protein,Cell wall/membrane/envelope biogenesis,"Rgg,Irr_EE_M6,Irr_LE_M6",
SP5448_04755,0.16794090420000002,SP5448_04755,stress response regulator Gls24,Function unknown,CovR,
SP5448_04760,0.1654949903,SP5448_04760,hypothetical protein,Transcription,CovR,
SP5448_04750,0.15185929850000002,SP5448_04750,membrane protein,Function unknown,"Rgg,CovR",
SP5448_04745,0.1511893216,SP5448_04745,membrane protein,Function unknown,"CovR,Nra_exponetional_M49,Irr_LE_M6",
SP5448_04740,0.11895326510000001,SP5448_04740,membrane protein,Function unknown,,
SP5448_00960,0.11665604930000001,opuAB,glycine/betaine ABC transporter permease,Amino acid transport and metabolism,"CovR,Rgg,CovR,CovR,Nra_exponetional_M49,VicR",
SP5448_07415,0.11353824870000001,ccpA,catabolite control protein A,Transcription,CcpA,
SP5448_07165,-0.1487085844,SP5448_07165,PTS beta-glucoside transporter subunit IIABC,Carbohydrate transport and metabolism,"CcpA,CcpA_core_M1,CovR,FasX_60min_M1,CovR,CovR",
SP5448_07160,-0.1521797282,bglH,6-phospho-beta-glucosidase,Carbohydrate transport and metabolism,"CcpA,CcpA_core_M1,CovR,Rgg,CovR,CovR,CovR",
SP5448_07170,-0.1665660916,licT,transcription antiterminator BglG,Transcription,"CcpA,CcpA_core_M1,CovR",
