locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PvdS,link
PP_3796,0.1825339218251357,pvdA,L-ornithine 5-monooxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2487,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3796&e1=1&assembly=complete
PP_4217,0.1713650440791449,fpvA,outer membrane ferripyoverdine receptor FpvA%2C TonB-dependent,Cell wall/membrane/envelope biogenesis,Op2733,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4217&e1=1&assembly=complete
PP_4223,0.1628971980326111,pvdH,diaminobutyrate-2-oxoglutarate transaminase,Amino acid transport and metabolism,Op2738,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4223&e1=1&assembly=complete
PP_3808,0.1627936364647597,PP_3808,Antibiotic synthesis protein MbtH,Function unknown,Op2490,"TurA,PvdS",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3808&e1=1&assembly=complete
PP_3807,0.1580956383658097,PP_3807,Thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2490,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3807&e1=1&assembly=complete
PP_4221,0.1511169369258357,pvdI,non-ribosomal peptide synthetase (subunit of ferribactin synthase),"Secondary metabolites biosynthesis, transport, and catabolism",Op2736,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4221&e1=1&assembly=complete
PP_4215,0.148637599130361,pvdO,pyoverdine biosynthesis related protein,"Cell cycle control, cell division, chromosome partitioning",Op2732,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4215&e1=1&assembly=complete
PP_4220,0.148225294067318,pvdJ,non-ribosomal peptide synthetase (subunit of ferribactin synthase),"Secondary metabolites biosynthesis, transport, and catabolism",Op2736,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4220&e1=1&assembly=complete
PP_4213,0.1473425518368464,pvdM,putative dipeptidase,Amino acid transport and metabolism,Op2732,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4213&e1=1&assembly=complete
PP_4214,0.1454527734908309,pvdN,pyoverdine biosynthesis related protein,Cell wall/membrane/envelope biogenesis,Op2732,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4214&e1=1&assembly=complete
PP_4222,0.1380864741546846,PP_4222,putative SyrP protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op2737,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4222&e1=1&assembly=complete
PP_4243,0.1356528484409104,pvdL,non-ribosomal peptide synthase (subunit of ferribactin synthase),Lipid transport and metabolism,Op2748,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4243&e1=1&assembly=complete
PP_4219,0.1321957604782016,pvdD,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2735,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4219&e1=1&assembly=complete
PP_4216,0.1293095761056701,pvdE,pyoverdine ABC export system%2C fused ATPase and permease components,Inorganic ion transport and metabolism,Op2732,PvdS,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4216&e1=1&assembly=complete
PP_3799,0.1282530838537037,PP_3799,conserved exported protein of unknown function,No COG annotation,Op2488,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3799&e1=1&assembly=complete
