locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FliA,link
PP_4378,0.1519625717791243,fliC,flagellin%2C filament structural protein,Cell motility,Op2821,FliA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4378&e1=1&assembly=complete
PP_4377,0.1361077372850378,PP_4377,putative Flagellin FlaG,Cell motility,Op2821,FliA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4377&e1=1&assembly=complete
PP_1371,0.1259096443618402,pctA,Methyl-accepting chemotaxis protein PctA,Cell motility,Op856,FliA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1371&e1=1&assembly=complete
PP_5020,0.1233372692006595,PP_5020,putative methyl-accepting chemotaxis protein,Cell motility,Op3272,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5020&e1=1&assembly=complete
PP_1828,0.1226995057005585,PP_1828,conserved protein of unknown function,No COG annotation,Op1146,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1828&e1=1&assembly=complete
PP_0584,0.1185277852284275,PP_0584,Methyl-accepting chemotaxis transducer,Signal transduction mechanisms,Op373,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0584&e1=1&assembly=complete
PP_3795,0.1169710940188822,PP_3795,conserved exported protein of unknown function,No COG annotation,Op2486,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3795&e1=1&assembly=complete
PP_2128,0.109433703461154,PP_2128,putative CheV-like chemotaxis protein,Signal transduction mechanisms,Op1366,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2128&e1=1&assembly=complete
PP_5710,0.1059961564695331,PP_5710,exported protein of unknown function,No COG annotation,Op3096,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5710&e1=1&assembly=complete
PP_2249,0.1049217871287879,pctB,Methyl-accepting chemotaxis protein PctB,Cell motility,Op1454,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2249&e1=1&assembly=complete
PP_2111,0.1013883512623329,PP_2111,putative aerotaxis receptor,Cell motility,Op1351,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2111&e1=1&assembly=complete
