locus,gene_weight,gene_name,gene_product,cog,operon,regulator,BaeR,CpxR,link
b3912,0.2554794717,cpxR,DNA-binding transcriptional dual regulator CpxR,Transcription,cpxRA,"RpoD,RpoS,CpxR,micF",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10020
b2838,0.1195671477,lysA,diaminopimelate decarboxylase,Amino acid transport and metabolism,lysA,"RpoD,LysR,ArgP,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10549
b4484,0.11857311970000001,cpxP,periplasmic protein CpxP,Cell motility,cpxPQ,"RpoD,YidZ,CpxR,cpxQ",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7816
b1600,0.0952212508,mdtJ,multidrug/spermidine efflux pump membrane subunit MdtJ,Inorganic ion transport and metabolism,mdtJI,"RpoD,ppGpp,H-NS",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6858
b2076,-0.0986841283,mdtC,multidrug efflux pump RND permease subunit MdtC,Defense mechanisms,mdtABCD-baeSR,"RpoS,CpxR,BaeR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7115
b2078,-0.09870834860000001,baeS,sensory histidine kinase BaeS,Signal transduction mechanisms,mdtABCD-baeSR,"RpoS,CpxR,BaeR,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11617
b2075,-0.1149522708,mdtB,multidrug efflux pump RND permease subunit MdtB,Defense mechanisms,mdtABCD-baeSR,"RpoS,CpxR,BaeR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7114
b2074,-0.1454920782,mdtA,multidrug efflux pump membrane fusion protein MdtA,Cell wall/membrane/envelope biogenesis,mdtABCD-baeSR,"RpoS,CpxR,BaeR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7113
b1743,-0.2138054762,spy,ATP-independent periplasmic chaperone,Cell motility,spy,"RpoD,CpxR,BaeR,ppGpp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6939
b2079,-0.246741392,baeR,DNA-binding transcriptional activator BaeR,Transcription,mdtABCD-baeSR,"RpoS,CpxR,BaeR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11618
