locus,gene_weight,gene_name,gene_product,cog,operon,regulator,BkdR,link
PP_0105,0.1050897520296236,PP_0105,Cytochrome C oxidase assembly protein,"Post-translational modification, protein turnover, and chaperones",Op75,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0105&e1=1&assembly=complete
PP_1640,0.1029394993409473,yohC,putative inner membrane protein of unknown function,Function unknown,Op1029,AlgR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1640&e1=1&assembly=complete
PP_2361,0.0908486761193066,PP_2361,putative chaperone protein,Cell wall/membrane/envelope biogenesis,Op1531,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2361&e1=1&assembly=complete
PP_2359,0.0904216372904378,PP_2359,putative Type 1 pili subunit CsuA/B protein,Function unknown,Op1531,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2359&e1=1&assembly=complete
PP_2360,0.0901302790251659,PP_2360,putative type 1 pili subunit CsuA/B protein,Function unknown,Op1531,AlgR,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2360&e1=1&assembly=complete
PP_0106,0.0895522121038194,PP_0106,cytochrome c oxidase subunit 3,Energy production and conversion,Op75,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0106&e1=1&assembly=complete
PP_0536,0.0877615747146701,PP_0536,conserved protein of unknown function,Function unknown,Op343,TurA,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0536&e1=1&assembly=complete
PP_0107,0.0845797823252638,PP_0107,conserved protein of unknown function,Function unknown,Op77,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0107&e1=1&assembly=complete
PP_4793,0.0842842819322806,PP_4793,conserved protein of unknown function,No COG annotation,Op3134,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4793&e1=1&assembly=complete
PP_0104,0.0820638403001126,ctaD,Cytochrome c oxidase subunit 1,Energy production and conversion,Op75,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0104&e1=1&assembly=complete
PP_3419,0.0796022933331634,PP_3419,Sigma-54 dependent transcriptional regulator/response regulator,Signal transduction mechanisms,Op2216,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3419&e1=1&assembly=complete
PP_0109,0.0780791114305836,PP_0109,conserved membrane protein of unknown function,"Post-translational modification, protein turnover, and chaperones",Op77,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0109&e1=1&assembly=complete
PP_2362,0.0777534888559483,PP_2362,putative usher protein,Cell motility,Op1531,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2362&e1=1&assembly=complete
PP_0108,0.0745169015533533,PP_0108,conserved protein of unknown function,Function unknown,Op77,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0108&e1=1&assembly=complete
PP_4404,0.0729148929549114,lpdV,dihydrolipoyl dehydrogenase component of branched-chain alpha-keto acid dehydrogenase complex,Energy production and conversion,Op2834,"SoxR,GacA,BkdR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4404&e1=1&assembly=complete
PP_4401,0.0707593156534604,bkdAA,branched-chain alpha-keto acid dehydrogenase complex%2C alpha subunit,Energy production and conversion,Op2834,BkdR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4401&e1=1&assembly=complete
PP_2942,0.0705808113030159,PP_2942,Response regulator,Signal transduction mechanisms,Op1906,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2942&e1=1&assembly=complete
PP_4402,0.0682925092194039,bkdAB,branched-chain alpha-keto acid dehydrogenase complex%2C beta subunit,Energy production and conversion,Op2834,BkdR,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4402&e1=1&assembly=complete
PP_2358,0.067697438139691,PP_2358,putative Type 1 pili subunit CsuA/B protein,Function unknown,Op1531,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2358&e1=1&assembly=complete
