locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CdaR,link
b3127,0.4116715278,garP,galactarate/glucarate/glycerate transporter GarP,Inorganic ion transport and metabolism,garPLRK-rnpB,"RpoD,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12760
b3126,0.4004296941,garL,alpha-dehydro-beta-deoxy-D-glucarate aldolase,Carbohydrate transport and metabolism,garPLRK-rnpB,"RpoD,YfeC,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10016
b3125,0.33565988750000003,garR,tartronate semialdehyde reductase,Lipid transport and metabolism,garPLRK-rnpB,"RpoD,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11176
b2789,0.309536803,gudP,galactarate/glucarate/glycerate transporter GudP,Inorganic ion transport and metabolism,gudPXD,CdaR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7447
b3124,0.2707448194,garK,glycerate 2-kinase 1,Carbohydrate transport and metabolism,garPLRK-rnpB,"RpoD,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11175
b3128,0.23981405660000002,garD,galactarate dehydratase,Amino acid transport and metabolism,garD,"CdaR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12522
b2788,0.2381165409,gudX,glucarate dehydratase-related protein,Cell wall/membrane/envelope biogenesis,gudPXD,"CdaR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7446
b2787,0.21356951500000002,gudD,D-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,gudPXD,CdaR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7445
b0162,0.1576355603,cdaR,DNA-binding transcriptional activator CdaR,Transcription,cdaR,"CdaR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12335
b1800,0.0632770732,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,dmlA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
